CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,Latitude,Longitude,BriefFacts,SourceSystem,SourceRecordID,SourceVersion,synthetic_demo_record
1,CR/0001/2025,CASE_2025_0001,2025-01-04T15:41:22,POL_125,PS_BYCULLA,CAT_CRIMINAL,HEINOUS,VEHICLE_THEFT_RING,observe_target_vehicle,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-04T15:41:22,2025-01-04T15:41:22,2025-01-04T15:41:22,18.932872,72.934828,Incident reported at Colaba Causeway Sector-62 under MO Vehicle Theft Ring.,CCTNS_MUMBAI,CCTNS_000001,v1.0,True
2,CR/0002/2025,CASE_2025_0002,2025-01-05T14:55:36,POL_350,PS_CHEMBUR,CAT_CRIMINAL,SERIOUS,ATM_CARD_SKIMMING,inspect_unattended_kiosk,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-05T14:55:36,2025-01-05T14:55:36,2025-01-05T14:55:36,19.201891,72.784229,Incident reported at Thane Station West Sector-137 under MO ATM/Card Skimming Racket.,CCTNS_MUMBAI,CCTNS_000002,v1.0,True
3,CR/0003/2025,CASE_2025_0003,2025-01-06T18:10:10,POL_854,PS_KURLA,CAT_CRIMINAL,HEINOUS,CHAIN_SNATCHING,survey_pedestrian_victim,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-06T18:10:10,2025-01-06T18:10:10,2025-01-06T18:10:10,18.881663,72.968174,Incident reported at Thane Station West Sector-197 under MO Two-Wheeler Chain Snatching.,CCTNS_MUMBAI,CCTNS_000003,v1.0,True
4,CR/0004/2025,CASE_2025_0004,2025-01-07T05:26:37,POL_858,PS_BANDRA,CAT_CRIMINAL,SERIOUS,CYBER_FRAUD_CALL_CENTER,spoof_official_bank_helpline,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-07T05:26:37,2025-01-07T05:26:37,2025-01-07T05:26:37,19.237965,72.857636,Incident reported at Kurla West Terminus Sector-26 under MO Cyber Fraud Call Center.,CCTNS_MUMBAI,CCTNS_000004,v1.0,True
5,CR/0005/2025,CASE_2025_0005,2025-01-08T20:56:32,POL_704,PS_MALAD,CAT_CRIMINAL,HEINOUS,EXTORTION_RACKET,identify_prominent_local_trader,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-08T20:56:32,2025-01-08T20:56:32,2025-01-08T20:56:32,18.884991,72.949456,Incident reported at Dharavi Commercial Complex Sector-101 under MO Commercial Extortion Racket.,CCTNS_MUMBAI,CCTNS_000005,v1.0,True
6,CR/0006/2025,CASE_2025_0006,2025-01-11T06:15:27,POL_130,PS_WORLI,CAT_CRIMINAL,SERIOUS,NARCOTICS_COURIER_NETWORK,procure_contraband_consignment,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-11T06:15:27,2025-01-11T06:15:27,2025-01-11T06:15:27,19.24434,72.76625,Incident reported at Juhu Tara Road Sector-27 under MO Narcotics Courier Network.,CCTNS_MUMBAI,CCTNS_000006,v1.0,True
7,CR/0007/2025,CASE_2025_0007,2025-01-13T08:34:30,POL_338,PS_BANDRA,CAT_CRIMINAL,HEINOUS,VEHICLE_THEFT_RING,observe_target_vehicle,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-13T08:34:30,2025-01-13T08:34:30,2025-01-13T08:34:30,19.129388,72.975634,Incident reported at Borivali West Station Area Sector-134 under MO Vehicle Theft Ring.,CCTNS_MUMBAI,CCTNS_000007,v1.0,True
8,CR/0008/2025,CASE_2025_0008,2025-01-14T17:50:51,POL_127,PS_MALAD,CAT_CRIMINAL,SERIOUS,ATM_CARD_SKIMMING,inspect_unattended_kiosk,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-14T17:50:51,2025-01-14T17:50:51,2025-01-14T17:50:51,18.941219,72.898344,Incident reported at Dadar TT Circle Sector-208 under MO ATM/Card Skimming Racket.,CCTNS_MUMBAI,CCTNS_000008,v1.0,True
9,CR/0009/2025,CASE_2025_0009,2025-01-16T09:40:03,POL_833,PS_MALAD,CAT_CRIMINAL,HEINOUS,CHAIN_SNATCHING,survey_pedestrian_victim,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-16T09:40:03,2025-01-16T09:40:03,2025-01-16T09:40:03,19.009854,72.763743,Incident reported at Andheri East MIDC Sector-45 under MO Two-Wheeler Chain Snatching.,CCTNS_MUMBAI,CCTNS_000009,v1.0,True
10,CR/0010/2025,CASE_2025_0010,2025-01-18T01:53:46,POL_658,PS_BYCULLA,CAT_CRIMINAL,SERIOUS,CYBER_FRAUD_CALL_CENTER,spoof_official_bank_helpline,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-18T01:53:46,2025-01-18T01:53:46,2025-01-18T01:53:46,18.932872,72.934828,Incident reported at Colaba Causeway Sector-62 under MO Cyber Fraud Call Center.,CCTNS_MUMBAI,CCTNS_000010,v1.0,True
11,CR/0011/2025,CASE_2025_0011,2025-01-18T04:29:59,POL_559,PS_WORLI,CAT_CRIMINAL,HEINOUS,EXTORTION_RACKET,identify_prominent_local_trader,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-18T04:29:59,2025-01-18T04:29:59,2025-01-18T04:29:59,18.939334,72.864962,Incident reported at Malad Link Road Sector-53 under MO Commercial Extortion Racket.,CCTNS_MUMBAI,CCTNS_000011,v1.0,True
12,CR/0012/2025,CASE_2025_0012,2025-01-18T05:45:01,POL_928,PS_BORIVALI,CAT_CRIMINAL,SERIOUS,NARCOTICS_COURIER_NETWORK,procure_contraband_consignment,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-18T05:45:01,2025-01-18T05:45:01,2025-01-18T05:45:01,18.898178,72.885882,Incident reported at Lower Parel Business Park Sector-30 under MO Narcotics Courier Network.,CCTNS_MUMBAI,CCTNS_000012,v1.0,True
13,CR/0013/2025,CASE_2025_0013,2025-01-18T20:05:05,POL_814,PS_COLABA,CAT_CRIMINAL,HEINOUS,VEHICLE_THEFT_RING,observe_target_vehicle,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-18T20:05:05,2025-01-18T20:05:05,2025-01-18T20:05:05,19.161237,72.806446,Incident reported at Lower Parel Business Park Sector-90 under MO Vehicle Theft Ring.,CCTNS_MUMBAI,CCTNS_000013,v1.0,True
14,CR/0014/2025,CASE_2025_0014,2025-01-18T21:15:50,POL_384,PS_WORLI,CAT_CRIMINAL,SERIOUS,ATM_CARD_SKIMMING,inspect_unattended_kiosk,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-18T21:15:50,2025-01-18T21:15:50,2025-01-18T21:15:50,19.008102,72.843744,Incident reported at Dharavi Commercial Complex Sector-81 under MO ATM/Card Skimming Racket.,CCTNS_MUMBAI,CCTNS_000014,v1.0,True
15,CR/0015/2025,CASE_2025_0015,2025-01-20T20:29:52,POL_881,PS_DHARAVI,CAT_CRIMINAL,HEINOUS,CHAIN_SNATCHING,survey_pedestrian_victim,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-20T20:29:52,2025-01-20T20:29:52,2025-01-20T20:29:52,19.070731,72.892542,Incident reported at Sion Circle Sector-99 under MO Two-Wheeler Chain Snatching.,CCTNS_MUMBAI,CCTNS_000015,v1.0,True
16,CR/0016/2025,CASE_2025_0016,2025-01-21T13:05:27,POL_194,PS_JUHU,CAT_CRIMINAL,SERIOUS,CYBER_FRAUD_CALL_CENTER,spoof_official_bank_helpline,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-21T13:05:27,2025-01-21T13:05:27,2025-01-21T13:05:27,19.062176,72.919861,Incident reported at Sewri Timber Market Sector-36 under MO Cyber Fraud Call Center.,CCTNS_MUMBAI,CCTNS_000016,v1.0,True
17,CR/0017/2025,CASE_2025_0017,2025-01-23T22:58:39,POL_467,PS_WORLI,CAT_CRIMINAL,HEINOUS,EXTORTION_RACKET,identify_prominent_local_trader,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-23T22:58:39,2025-01-23T22:58:39,2025-01-23T22:58:39,19.233761,72.943794,Incident reported at Lower Parel Business Park Sector-130 under MO Commercial Extortion Racket.,CCTNS_MUMBAI,CCTNS_000017,v1.0,True
18,CR/0018/2025,CASE_2025_0018,2025-01-27T15:40:36,POL_370,PS_JUHU,CAT_CRIMINAL,SERIOUS,NARCOTICS_COURIER_NETWORK,procure_contraband_consignment,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-27T15:40:36,2025-01-27T15:40:36,2025-01-27T15:40:36,18.96871,72.852258,Incident reported at Dadar TT Circle Sector-8 under MO Narcotics Courier Network.,CCTNS_MUMBAI,CCTNS_000018,v1.0,True
19,CR/0019/2025,CASE_2025_0019,2025-01-27T23:57:55,POL_570,PS_COLABA,CAT_CRIMINAL,HEINOUS,VEHICLE_THEFT_RING,observe_target_vehicle,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-27T23:57:55,2025-01-27T23:57:55,2025-01-27T23:57:55,18.964748,72.936451,Incident reported at Ghatkopar Central Mall Sector-191 under MO Vehicle Theft Ring.,CCTNS_MUMBAI,CCTNS_000019,v1.0,True
20,CR/0020/2025,CASE_2025_0020,2025-01-28T05:16:04,POL_487,PS_MALAD,CAT_CRIMINAL,SERIOUS,ATM_CARD_SKIMMING,inspect_unattended_kiosk,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-28T05:16:04,2025-01-28T05:16:04,2025-01-28T05:16:04,19.006988,72.790899,Incident reported at Sion Circle Sector-199 under MO ATM/Card Skimming Racket.,CCTNS_MUMBAI,CCTNS_000020,v1.0,True
21,CR/0021/2025,CASE_2025_0021,2025-01-28T17:07:01,POL_400,PS_BANDRA,CAT_CRIMINAL,HEINOUS,CHAIN_SNATCHING,survey_pedestrian_victim,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-28T17:07:01,2025-01-28T17:07:01,2025-01-28T17:07:01,19.250892,72.773928,Incident reported at Worli Sea Face Sector-189 under MO Two-Wheeler Chain Snatching.,CCTNS_MUMBAI,CCTNS_000021,v1.0,True
22,CR/0022/2025,CASE_2025_0022,2025-01-30T19:36:15,POL_982,PS_BYCULLA,CAT_CRIMINAL,SERIOUS,CYBER_FRAUD_CALL_CENTER,spoof_official_bank_helpline,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-30T19:36:15,2025-01-30T19:36:15,2025-01-30T19:36:15,19.132485,72.955154,Incident reported at Colaba Causeway Sector-222 under MO Cyber Fraud Call Center.,CCTNS_MUMBAI,CCTNS_000022,v1.0,True
23,CR/0023/2025,CASE_2025_0023,2025-01-30T23:57:03,POL_296,PS_JUHU,CAT_CRIMINAL,HEINOUS,EXTORTION_RACKET,identify_prominent_local_trader,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-30T23:57:03,2025-01-30T23:57:03,2025-01-30T23:57:03,19.134275,72.770062,Incident reported at Colaba Causeway Sector-162 under MO Commercial Extortion Racket.,CCTNS_MUMBAI,CCTNS_000023,v1.0,True
24,CR/0024/2025,CASE_2025_0024,2025-01-31T14:19:03,POL_146,PS_CHEMBUR,CAT_CRIMINAL,SERIOUS,NARCOTICS_COURIER_NETWORK,procure_contraband_consignment,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-01-31T14:19:03,2025-01-31T14:19:03,2025-01-31T14:19:03,19.227013,72.941372,Incident reported at Navi Mumbai Vashi Sector 17 Sector-138 under MO Narcotics Courier Network.,CCTNS_MUMBAI,CCTNS_000024,v1.0,True
25,CR/0025/2025,CASE_2025_0025,2025-02-01T09:00:11,POL_891,PS_BYCULLA,CAT_CRIMINAL,HEINOUS,VEHICLE_THEFT_RING,observe_target_vehicle,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-02-01T09:00:11,2025-02-01T09:00:11,2025-02-01T09:00:11,19.034153,72.834794,Incident reported at Ghatkopar Central Mall Sector-71 under MO Vehicle Theft Ring.,CCTNS_MUMBAI,CCTNS_000025,v1.0,True
26,CR/0026/2025,CASE_2025_0026,2025-02-05T16:22:52,POL_975,PS_ANDHERI,CAT_CRIMINAL,SERIOUS,ATM_CARD_SKIMMING,inspect_unattended_kiosk,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-02-05T16:22:52,2025-02-05T16:22:52,2025-02-05T16:22:52,19.050558,72.859206,Incident reported at Navi Mumbai Vashi Sector 17 Sector-58 under MO ATM/Card Skimming Racket.,CCTNS_MUMBAI,CCTNS_000026,v1.0,True
27,CR/0027/2025,CASE_2025_0027,2025-02-07T08:28:15,POL_489,PS_KURLA,CAT_CRIMINAL,HEINOUS,CHAIN_SNATCHING,survey_pedestrian_victim,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-02-07T08:28:15,2025-02-07T08:28:15,2025-02-07T08:28:15,18.972388,72.920406,Incident reported at Bandra Kurla Complex Sector-204 under MO Two-Wheeler Chain Snatching.,CCTNS_MUMBAI,CCTNS_000027,v1.0,True
28,CR/0028/2025,CASE_2025_0028,2025-02-08T10:32:10,POL_750,PS_ANDHERI,CAT_CRIMINAL,SERIOUS,CYBER_FRAUD_CALL_CENTER,spoof_official_bank_helpline,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-02-08T10:32:10,2025-02-08T10:32:10,2025-02-08T10:32:10,19.187014,72.834626,Incident reported at Bandra Kurla Complex Sector-84 under MO Cyber Fraud Call Center.,CCTNS_MUMBAI,CCTNS_000028,v1.0,True
29,CR/0029/2025,CASE_2025_0029,2025-02-09T16:24:14,POL_479,PS_JUHU,CAT_CRIMINAL,HEINOUS,EXTORTION_RACKET,identify_prominent_local_trader,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-02-09T16:24:14,2025-02-09T16:24:14,2025-02-09T16:24:14,18.888419,72.7891,Incident reported at Sewri Timber Market Sector-56 under MO Commercial Extortion Racket.,CCTNS_MUMBAI,CCTNS_000029,v1.0,True
30,CR/0030/2025,CASE_2025_0030,2025-02-11T04:45:46,POL_786,PS_JUHU,CAT_CRIMINAL,SERIOUS,NARCOTICS_COURIER_NETWORK,procure_contraband_consignment,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-02-11T04:45:46,2025-02-11T04:45:46,2025-02-11T04:45:46,19.128245,72.904528,Incident reported at Dadar TT Circle Sector-148 under MO Narcotics Courier Network.,CCTNS_MUMBAI,CCTNS_000030,v1.0,True
31,CR/0031/2025,CASE_2025_0031,2025-02-11T22:30:06,POL_799,PS_ANDHERI,CAT_CRIMINAL,HEINOUS,VEHICLE_THEFT_RING,observe_target_vehicle,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-02-11T22:30:06,2025-02-11T22:30:06,2025-02-11T22:30:06,19.261058,72.914081,Incident reported at Dharavi Commercial Complex Sector-161 under MO Vehicle Theft Ring.,CCTNS_MUMBAI,CCTNS_000031,v1.0,True
32,CR/0032/2025,CASE_2025_0032,2025-02-12T04:47:04,POL_723,PS_BYCULLA,CAT_CRIMINAL,SERIOUS,ATM_CARD_SKIMMING,inspect_unattended_kiosk,UNDER_INVESTIGATION,COURT_MUMBAI_MAGISTRATE,2025-02-12T04:47:04,2025-02-12T04:47:04,2025-02-12T04:47:04,19.158578,72.935852,Incident reported at Thane Station West Sector-177 under MO ATM/Card Skimming Racket.,CCTNS_MUMBAI,CCTNS_000032,v1.0,True
