cdr_id,caller_phone_id,receiver_phone_id,event_time,duration,cell_tower_id,latitude,longitude,source_id,synthetic_demo_record
CDR_000001,PHN_01576,PHN_05772,2025-03-01T21:25:10,1364,TOW_002,18.977957,72.783489,TELCO_CDR_SYSTEM,True
CDR_000002,PHN_01867,PHN_02371,2027-08-06T01:19:23,486,TOW_002,18.977957,72.783489,TELCO_CDR_SYSTEM,True
CDR_000003,PHN_00828,PHN_03114,2026-05-06T14:29:58,1311,TOW_005,18.967455,72.871285,TELCO_CDR_SYSTEM,True
CDR_000004,PHN_02989,PHN_01333,2026-01-30T20:31:45,439,TOW_006,19.104498,72.921845,TELCO_CDR_SYSTEM,True
CDR_000005,PHN_05491,PHN_02188,2027-11-19T05:14:59,1409,TOW_012,19.12149,72.943711,TELCO_CDR_SYSTEM,True
CDR_000006,PHN_05309,PHN_00585,2026-11-26T02:05:18,360,TOW_010,18.966126,72.933239,TELCO_CDR_SYSTEM,True
CDR_000007,PHN_04376,PHN_05974,2025-05-09T15:19:54,956,TOW_004,19.116197,72.757628,TELCO_CDR_SYSTEM,True
CDR_000008,PHN_03109,PHN_02212,2026-12-01T03:52:50,1419,TOW_015,19.127408,72.95681,TELCO_CDR_SYSTEM,True
CDR_000009,PHN_04563,PHN_01800,2025-12-26T18:29:10,1736,TOW_011,18.917098,72.773212,TELCO_CDR_SYSTEM,True
CDR_000010,PHN_00459,PHN_01877,2025-02-12T08:38:53,1658,TOW_014,18.91152,72.820363,TELCO_CDR_SYSTEM,True
CDR_000011,PHN_02585,PHN_03287,2025-03-27T03:06:28,442,TOW_005,18.967455,72.871285,TELCO_CDR_SYSTEM,True
CDR_000012,PHN_04647,PHN_05882,2025-07-04T01:44:18,1352,TOW_006,19.104498,72.921845,TELCO_CDR_SYSTEM,True
CDR_000013,PHN_04090,PHN_03242,2027-10-28T02:16:03,1326,TOW_015,19.127408,72.95681,TELCO_CDR_SYSTEM,True
CDR_000014,PHN_03759,PHN_01171,2025-04-22T13:22:27,515,TOW_005,18.967455,72.871285,TELCO_CDR_SYSTEM,True
CDR_000015,PHN_04599,PHN_04416,2027-04-05T17:18:16,1207,TOW_005,18.967455,72.871285,TELCO_CDR_SYSTEM,True
CDR_000016,PHN_03510,PHN_04781,2026-02-08T04:07:51,459,TOW_007,19.097977,72.802906,TELCO_CDR_SYSTEM,True
CDR_000017,PHN_01134,PHN_04175,2025-04-07T06:19:00,1557,TOW_008,18.991276,72.958632,TELCO_CDR_SYSTEM,True
CDR_000018,PHN_00386,PHN_00899,2026-11-17T18:34:00,337,TOW_003,19.15068,72.964123,TELCO_CDR_SYSTEM,True
CDR_000019,PHN_05575,PHN_03459,2025-03-23T22:50:13,798,TOW_010,18.966126,72.933239,TELCO_CDR_SYSTEM,True
CDR_000020,PHN_03127,PHN_04882,2026-07-27T02:42:22,524,TOW_008,18.991276,72.958632,TELCO_CDR_SYSTEM,True
CDR_000021,PHN_04533,PHN_00095,2027-03-04T12:34:02,244,TOW_011,18.917098,72.773212,TELCO_CDR_SYSTEM,True
CDR_000022,PHN_05585,PHN_04399,2025-10-16T16:02:13,1584,TOW_013,19.06377,72.779958,TELCO_CDR_SYSTEM,True
CDR_000023,PHN_05251,PHN_02787,2025-11-15T11:54:00,900,TOW_002,18.977957,72.783489,TELCO_CDR_SYSTEM,True
CDR_000024,PHN_01296,PHN_03717,2027-12-05T10:56:18,1488,TOW_001,19.135771,72.756003,TELCO_CDR_SYSTEM,True
CDR_000025,PHN_05896,PHN_02158,2027-04-19T08:14:03,375,TOW_009,19.159256,72.83166,TELCO_CDR_SYSTEM,True
CDR_000026,PHN_04159,PHN_00872,2026-11-13T19:31:22,621,TOW_014,18.91152,72.820363,TELCO_CDR_SYSTEM,True
CDR_000027,PHN_05235,PHN_04159,2025-06-18T06:33:03,323,TOW_010,18.966126,72.933239,TELCO_CDR_SYSTEM,True
CDR_000028,PHN_03064,PHN_01324,2027-12-05T10:56:18,1604,TOW_009,19.159256,72.83166,TELCO_CDR_SYSTEM,True
CDR_000029,PHN_04345,PHN_00005,2025-12-25T22:21:00,1010,TOW_010,18.966126,72.933239,TELCO_CDR_SYSTEM,True
CDR_000030,PHN_00160,PHN_00917,2026-02-08T05:02:11,1713,TOW_015,19.127408,72.95681,TELCO_CDR_SYSTEM,True
CDR_000031,PHN_02520,PHN_01962,2025-09-06T00:30:46,1171,TOW_001,19.135771,72.756003,TELCO_CDR_SYSTEM,True
CDR_000032,PHN_00646,PHN_00702,2026-06-04T16:27:25,1681,TOW_012,19.12149,72.943711,TELCO_CDR_SYSTEM,True
