cell_tower_id,latitude,longitude,area_code,source,synthetic_demo_record
TOW_001,19.135771,72.756003,Dharavi_400017,CELLULAR_OPERATOR_LOGS,True
TOW_002,18.977957,72.783489,Colaba_400005,CELLULAR_OPERATOR_LOGS,True
TOW_003,19.15068,72.964123,Colaba_400005,CELLULAR_OPERATOR_LOGS,True
TOW_004,19.116197,72.757628,Colaba_400005,CELLULAR_OPERATOR_LOGS,True
TOW_005,18.967455,72.871285,Colaba_400005,CELLULAR_OPERATOR_LOGS,True
TOW_006,19.104498,72.921845,Kurla_400070,CELLULAR_OPERATOR_LOGS,True
TOW_007,19.097977,72.802906,Andheri_400069,CELLULAR_OPERATOR_LOGS,True
TOW_008,18.991276,72.958632,Bandra_400050,CELLULAR_OPERATOR_LOGS,True
TOW_009,19.159256,72.83166,Bandra_400050,CELLULAR_OPERATOR_LOGS,True
TOW_010,18.966126,72.933239,Colaba_400005,CELLULAR_OPERATOR_LOGS,True
TOW_011,18.917098,72.773212,Dharavi_400017,CELLULAR_OPERATOR_LOGS,True
TOW_012,19.12149,72.943711,Kurla_400070,CELLULAR_OPERATOR_LOGS,True
TOW_013,19.06377,72.779958,BKC_400051,CELLULAR_OPERATOR_LOGS,True
TOW_014,18.91152,72.820363,Kurla_400070,CELLULAR_OPERATOR_LOGS,True
TOW_015,19.127408,72.95681,Andheri_400069,CELLULAR_OPERATOR_LOGS,True
