device_id,device_hash,type,synthetic_demo_record
DEV_00001,26d3cf76a0adfccc,Smartphone,True
DEV_00002,a27e51ba62e58223,Smartphone,True
DEV_00003,9decb69b90490a2e,Smartphone,True
DEV_00004,6460dff3a532171c,Router,True
DEV_00005,479f85b449f5151e,Smartphone,True
DEV_00006,325fc319b9f26f62,Smartphone,True
DEV_00007,b2cbcc2f7ebe66a0,Tablet,True
DEV_00008,ee0382c1c307e9dd,Burner Phone,True
DEV_00009,deb7fd03594cf00a,Router,True
DEV_00010,85b5051b9c643bb3,Smartphone,True
DEV_00011,fa4ba94898f337a9,Tablet,True
DEV_00012,d1c748ea61e1d1d6,Laptop,True
DEV_00013,e5bfc28cb468892a,Tablet,True
DEV_00014,0730d8ba153e7fac,Burner Phone,True
DEV_00015,5d98b214dc85210d,Router,True
DEV_00016,195e963b470f9393,Laptop,True
DEV_00017,c4cd91ed2abd53ca,Laptop,True
DEV_00018,aca42777e1630428,Router,True
DEV_00019,7d8412769b51f153,Router,True
DEV_00020,a0abe21e361b127f,Laptop,True
DEV_00021,0d9fa7b470ff7f3f,Tablet,True
DEV_00022,717edd8138990c73,Tablet,True
DEV_00023,687bb4509928f081,Burner Phone,True
DEV_00024,0e54b3e0d53a23a2,Laptop,True
DEV_00025,a87e84379eeaba6f,Burner Phone,True
DEV_00026,96f39bbd037c9e88,Smartphone,True
DEV_00027,002085617a74b4a6,Burner Phone,True
DEV_00028,ecd3d1e91d00b493,Burner Phone,True
DEV_00029,ef726037e39fde24,Laptop,True
DEV_00030,e7cf21650cc56912,Router,True
DEV_00031,9af4ddc43a5f2318,Burner Phone,True
DEV_00032,7e77202345760770,Smartphone,True
DEV_00033,d6ffc37273adfdd7,Tablet,True
DEV_00034,1a979ae903c16d61,Tablet,True
DEV_00035,3f14fe4cf4c12667,Burner Phone,True
DEV_00036,d67402c22dd0790e,Smartphone,True
DEV_00037,4147d77fa6f9617c,Router,True
DEV_00038,8308b8731956b5ef,Burner Phone,True
DEV_00039,8a8d48496c7a0ab2,Burner Phone,True
DEV_00040,f02c305212a7cd96,Router,True
DEV_00041,d46b81833e7c2143,Tablet,True
DEV_00042,7e78919b97226649,Tablet,True
DEV_00043,6beadd60da90bc06,Laptop,True
DEV_00044,a511cf741d13f63c,Burner Phone,True
DEV_00045,4951a2c734168456,Tablet,True
DEV_00046,101356e2f840d7b8,Burner Phone,True
DEV_00047,0e6de7fe24fc2f92,Burner Phone,True
DEV_00048,25a7dc0fadc35b8f,Tablet,True
DEV_00049,3d3beea9eb311f12,Tablet,True
DEV_00050,1d80a797002ca441,Tablet,True
DEV_00051,faaca8cd4bedbde5,Laptop,True
DEV_00052,0ed63eb7869381f7,Router,True
DEV_00053,26d1b1789f5ecf4c,Burner Phone,True
DEV_00054,ceff8de53ee90ae3,Tablet,True
DEV_00055,2e8db85743935e8b,Smartphone,True
DEV_00056,0fb4a10bff6c3680,Smartphone,True
DEV_00057,43bb14e2b7258342,Router,True
DEV_00058,78c09be98566f655,Laptop,True
DEV_00059,6a944397d0234210,Laptop,True
DEV_00060,005d5fb65020d11b,Laptop,True
DEV_00061,d25d989ce81e6f29,Tablet,True
DEV_00062,87f739aa53dd671f,Laptop,True
DEV_00063,03771dd309e5d456,Burner Phone,True
DEV_00064,08146aaabc2a54a7,Tablet,True
DEV_00065,4c4bc9970ca45b95,Burner Phone,True
DEV_00066,b83419fe01f35a59,Burner Phone,True
DEV_00067,12890c3ba5c3b453,Laptop,True
DEV_00068,93788ca85221ac14,Laptop,True
DEV_00069,0df5c5cceb9106e5,Router,True
DEV_00070,9c43f572cde811cb,Router,True
DEV_00071,5cc5617ddc01df77,Burner Phone,True
DEV_00072,8cdd140430d98bf7,Burner Phone,True
DEV_00073,0239617a6ff80e68,Smartphone,True
DEV_00074,81293bbe3f047fbf,Tablet,True
DEV_00075,042acf858dc5ac6e,Laptop,True
DEV_00076,2659fb4837dd8311,Tablet,True
DEV_00077,2f7ffdd4e322580d,Router,True
DEV_00078,4a8033e0cc916b0d,Laptop,True
DEV_00079,15277ff41469ede7,Tablet,True
DEV_00080,fdd684b6a486307c,Smartphone,True
DEV_00081,735cb21c9d80e115,Router,True
DEV_00082,1988cab5015c65ed,Smartphone,True
DEV_00083,70f82005ed97599b,Router,True
DEV_00084,e3c45e05ac0ed821,Tablet,True
DEV_00085,0c5620933cb403b6,Laptop,True
DEV_00086,58b785be99415c87,Burner Phone,True
DEV_00087,84722bdb9f4bc89e,Smartphone,True
DEV_00088,7a3af56c27ebd401,Tablet,True
DEV_00089,18a609d2f90b712a,Burner Phone,True
DEV_00090,14d6882955b47af2,Laptop,True
DEV_00091,fff8e7888d8405c8,Router,True
DEV_00092,de8d54b83d772d59,Laptop,True
DEV_00093,2d298c5f0eb181a4,Smartphone,True
DEV_00094,6422fabc02127fba,Laptop,True
DEV_00095,b435007dc5ba1f8d,Laptop,True
DEV_00096,df8a534c632c5212,Burner Phone,True
DEV_00097,17b66ef6e99d3bae,Smartphone,True
DEV_00098,d45c54890e698a7b,Laptop,True
DEV_00099,d9d2678638c0c6f5,Router,True
DEV_00100,eff3875a158593af,Tablet,True
DEV_00101,031343d8873aa401,Burner Phone,True
DEV_00102,bbcb22190d73cee1,Burner Phone,True
DEV_00103,7dee0259c2931cf2,Laptop,True
DEV_00104,e4b327602d7fb826,Laptop,True
DEV_00105,fbda511a23041899,Tablet,True
DEV_00106,14715a85a9f6c8af,Laptop,True
DEV_00107,ea376c2d0be439f5,Smartphone,True
DEV_00108,43a77d20fd66d5c4,Router,True
DEV_00109,a65ccd9dc2a06ea7,Burner Phone,True
DEV_00110,7a3ffb14295c9882,Router,True
DEV_00111,a540bf4676f25524,Router,True
DEV_00112,265a1296d828ec5b,Laptop,True
DEV_00113,8f1dd61500582ff9,Smartphone,True
DEV_00114,500ad19191c51080,Laptop,True
DEV_00115,48fc5c165fb754c2,Laptop,True
DEV_00116,288a52dd2b90a536,Smartphone,True
DEV_00117,60971d031b57a727,Tablet,True
DEV_00118,c465688d2888fab7,Tablet,True
DEV_00119,516cefeb97293752,Router,True
DEV_00120,ee3f8e1d05d6662a,Smartphone,True
DEV_00121,0fb28f41fad9fdce,Laptop,True
DEV_00122,12b72fecd725cd74,Router,True
DEV_00123,4d25111625c601b8,Smartphone,True
DEV_00124,2df9abd1830d9a62,Router,True
DEV_00125,765c26c5472d7b91,Laptop,True
DEV_00126,51ff98d4047274ce,Laptop,True
DEV_00127,d92b9026f0fb0f6b,Burner Phone,True
DEV_00128,d098542693add03d,Burner Phone,True
DEV_00129,1fe3d864da11dfff,Laptop,True
DEV_00130,f52818eed66071f8,Laptop,True
DEV_00131,5f08051b2c825017,Smartphone,True
DEV_00132,2a7e943cca120768,Router,True
DEV_00133,19944cf7ba701e32,Burner Phone,True
DEV_00134,6478a6d4df3d4f26,Burner Phone,True
DEV_00135,eda2ff56dff8a580,Router,True
DEV_00136,accbf2cb8a4f0b0b,Smartphone,True
DEV_00137,14427156fc2c70ff,Burner Phone,True
DEV_00138,ad2cdfe13900f19b,Smartphone,True
DEV_00139,97dfcb85e63f619d,Router,True
DEV_00140,06702b8b4329334d,Router,True
DEV_00141,652021a933f0e96b,Smartphone,True
DEV_00142,ccdf043700d50a78,Laptop,True
DEV_00143,ae14d20f4f60c1a4,Laptop,True
DEV_00144,851763675b19da4c,Smartphone,True
DEV_00145,f2a131e2b4c18796,Router,True
DEV_00146,08bcdf4d04a80489,Burner Phone,True
DEV_00147,4a5275aa14c832c8,Burner Phone,True
DEV_00148,8b1c8dc7a6050e52,Tablet,True
DEV_00149,14f97d7a4f379c6d,Smartphone,True
DEV_00150,d4c4ec0e1a92129d,Smartphone,True
DEV_00151,024229a719295dff,Router,True
DEV_00152,6a212cb404e20910,Laptop,True
DEV_00153,7f8083ad5df0a136,Laptop,True
DEV_00154,2c28834f27009613,Burner Phone,True
DEV_00155,97bd820952827d70,Burner Phone,True
DEV_00156,0e554fd1350f6806,Router,True
DEV_00157,89aeaedf0c593f7b,Router,True
DEV_00158,2fc440a9d249b29c,Laptop,True
DEV_00159,e45d9319686c6450,Laptop,True
DEV_00160,0c0ad85f52d073c1,Router,True
DEV_00161,bd6e6db726fc18bc,Laptop,True
DEV_00162,31030697a110f757,Burner Phone,True
DEV_00163,d1214f6614256292,Tablet,True
DEV_00164,38cbcaa438a8e2b6,Smartphone,True
DEV_00165,bee119f77c6c2247,Smartphone,True
DEV_00166,9ca3bedab29bbea9,Tablet,True
DEV_00167,20a4e662bcca7f84,Smartphone,True
DEV_00168,db84d0c23edab084,Tablet,True
DEV_00169,7cb421c380992da9,Laptop,True
DEV_00170,43b56c937af60aa8,Laptop,True
DEV_00171,061418d479652871,Router,True
DEV_00172,c8b9e32f40b211e9,Router,True
DEV_00173,0ebfca0c89353001,Burner Phone,True
DEV_00174,e925ea50ed0fb370,Smartphone,True
DEV_00175,5a3f1f05994ff058,Laptop,True
DEV_00176,07fb56f5263ae1e2,Laptop,True
DEV_00177,a031cad3420c91c3,Smartphone,True
DEV_00178,b4001a934638443f,Burner Phone,True
DEV_00179,d7f29d97ed007aac,Burner Phone,True
DEV_00180,24b31a08cbc75688,Burner Phone,True
DEV_00181,98c02543f67aee8c,Burner Phone,True
DEV_00182,9fd9531d1fda9872,Tablet,True
DEV_00183,b2c8d8d6662b37a8,Burner Phone,True
DEV_00184,b6bd2a94f12e03f6,Burner Phone,True
DEV_00185,7d1bae8c8bdcb79c,Tablet,True
DEV_00186,09f876f19cdf6991,Smartphone,True
DEV_00187,95bca3bc85b86571,Tablet,True
DEV_00188,b284c1c9684415bc,Router,True
DEV_00189,8fe990ccab6b6396,Smartphone,True
DEV_00190,c3249941f871c1a8,Router,True
DEV_00191,862313a278d98d46,Tablet,True
DEV_00192,d0cee2359bb0c082,Burner Phone,True
DEV_00193,01322663b12c3912,Laptop,True
DEV_00194,49349e8493ce8d46,Tablet,True
DEV_00195,4ced71c027dafbe9,Tablet,True
DEV_00196,7f768256c1591c80,Smartphone,True
DEV_00197,8ad4ed6a789d83ef,Burner Phone,True
DEV_00198,4301a3df87a1b4d1,Laptop,True
DEV_00199,3939ca9688b750e2,Burner Phone,True
DEV_00200,a66c299c358b98a0,Burner Phone,True
DEV_00201,6290fe41d489079d,Laptop,True
DEV_00202,767391763371c905,Burner Phone,True
DEV_00203,58c4b4d2cbea9843,Router,True
DEV_00204,098aedb54c32a73c,Laptop,True
DEV_00205,03cc7248b77b00b9,Router,True
DEV_00206,9f8300d1fc9d1ced,Burner Phone,True
DEV_00207,c007f6eb5b089cba,Smartphone,True
DEV_00208,6220472407eeae87,Router,True
DEV_00209,87a23376ef82cebb,Smartphone,True
DEV_00210,15b12b38a01c9a3d,Burner Phone,True
DEV_00211,d5d6a9b810f0a122,Tablet,True
DEV_00212,02ab3fb0bf8140bb,Router,True
DEV_00213,9c791827acda9187,Burner Phone,True
DEV_00214,8ddb976ef2b248da,Burner Phone,True
DEV_00215,49a8c32a05edbc64,Router,True
DEV_00216,a6be570acbdeddf7,Tablet,True
DEV_00217,d997482abeac1c12,Tablet,True
DEV_00218,f744fb103c1e1b5c,Router,True
DEV_00219,a7f2c85d4387ab6f,Tablet,True
DEV_00220,d6fee2210c2dafa9,Router,True
DEV_00221,85eddc8b05b20bcf,Burner Phone,True
DEV_00222,27bf3e0b25c1cf13,Laptop,True
DEV_00223,d50d0b52591df89e,Router,True
DEV_00224,03b5bdb9e16e6295,Smartphone,True
DEV_00225,d259a5bbaa7e5e14,Laptop,True
DEV_00226,5bef12024aab87ef,Smartphone,True
DEV_00227,768141e9a70f2af1,Burner Phone,True
DEV_00228,19da34760a8c551f,Burner Phone,True
DEV_00229,881e9a9e65d5e8fa,Smartphone,True
DEV_00230,ed47d027e13caca3,Tablet,True
DEV_00231,8c4b17ed0f234d63,Burner Phone,True
DEV_00232,c69994090bda7dd0,Burner Phone,True
DEV_00233,2c9527f8868a5323,Burner Phone,True
DEV_00234,e3d32ad7edb5ea51,Smartphone,True
DEV_00235,95635a9bce095ae4,Laptop,True
DEV_00236,02bf5b7b1ad3322d,Laptop,True
DEV_00237,be585223c3373e58,Laptop,True
DEV_00238,17edb64cbf19f233,Tablet,True
DEV_00239,31e887dc7aa54855,Smartphone,True
DEV_00240,678b3db013ffe1ef,Laptop,True
DEV_00241,fc8085cea9e5b493,Smartphone,True
DEV_00242,0fe5428a041b124a,Burner Phone,True
DEV_00243,88153909573bd1ab,Router,True
DEV_00244,0194143f61b7d60f,Tablet,True
DEV_00245,6d7cf64aa0fcbf8f,Laptop,True
DEV_00246,b757dfe2c5f8f0d7,Laptop,True
DEV_00247,ea9c4e5daf642870,Burner Phone,True
DEV_00248,fa8475d18f3595b2,Smartphone,True
DEV_00249,eaf235987752f644,Smartphone,True
DEV_00250,7d96d316c15d86ed,Burner Phone,True
DEV_00251,bf93c4dbd33ed188,Tablet,True
DEV_00252,945597860e041dc8,Router,True
DEV_00253,fac101b48cac21f3,Smartphone,True
DEV_00254,5365f399418936be,Laptop,True
DEV_00255,d507395f6b94aad3,Smartphone,True
DEV_00256,b39a09e296d2d18a,Smartphone,True
DEV_00257,3d966728d38bf824,Burner Phone,True
DEV_00258,ebfdf3fa32ba0e01,Burner Phone,True
DEV_00259,1edebf843570940e,Smartphone,True
DEV_00260,64f981ff04045b8b,Burner Phone,True
DEV_00261,42b07cf8435014cd,Smartphone,True
DEV_00262,331a8647b6079ac0,Burner Phone,True
DEV_00263,3da3acdc499097c4,Smartphone,True
DEV_00264,edb09d9259c9ec66,Router,True
DEV_00265,7d810962309400f2,Smartphone,True
DEV_00266,9227369d58ea9ad2,Router,True
DEV_00267,fb02fe92c3563cec,Tablet,True
DEV_00268,d45c77e51954e99b,Burner Phone,True
DEV_00269,9eeac9c6f9692952,Smartphone,True
DEV_00270,5c922786857904e1,Burner Phone,True
DEV_00271,c9014547819b2369,Router,True
DEV_00272,67b04ac60693af3e,Router,True
DEV_00273,6aae3f062af1f20c,Smartphone,True
DEV_00274,bfc3a1ada18bdfd5,Burner Phone,True
DEV_00275,1fdeb8be4e3e78f0,Tablet,True
DEV_00276,5d3a3a2b7d9dd1d2,Laptop,True
DEV_00277,1307b8a62d638c81,Burner Phone,True
DEV_00278,033f4f0edd345d1b,Smartphone,True
DEV_00279,de0f4bd7d83ac395,Router,True
DEV_00280,d446c4e055ec5e3c,Burner Phone,True
DEV_00281,67d1bea8ef123d30,Smartphone,True
DEV_00282,2f9dba8095babb36,Laptop,True
DEV_00283,dc94d4a219db9b53,Tablet,True
DEV_00284,77d1412664dabb81,Burner Phone,True
DEV_00285,8732b368b19c57af,Router,True
DEV_00286,4a3982b538a3ba13,Smartphone,True
DEV_00287,14297a446bfacffd,Burner Phone,True
DEV_00288,4ded9ae94bffd093,Burner Phone,True
DEV_00289,baa21187158c62b2,Router,True
DEV_00290,0c6bf36bbd77e631,Tablet,True
DEV_00291,44afb4846d9b868c,Router,True
DEV_00292,730d7c5a286dc264,Tablet,True
DEV_00293,4253b39cadfed955,Router,True
DEV_00294,85553f6336a74133,Router,True
DEV_00295,4f5bea9f025f666b,Burner Phone,True
DEV_00296,94e51828974d3656,Router,True
DEV_00297,bcb6673ff24a6bab,Tablet,True
DEV_00298,1bbf7a8c0d7f9121,Laptop,True
DEV_00299,403faf458967bd9e,Laptop,True
DEV_00300,1af3640b63f29890,Router,True
DEV_00301,66b24572e8bf8b78,Router,True
DEV_00302,405d580565f4072d,Tablet,True
DEV_00303,1570bc1868b00e73,Router,True
DEV_00304,d641c86fde75fa4d,Burner Phone,True
DEV_00305,18d3a174bfe8a91d,Laptop,True
DEV_00306,419cdb03a5dbfb53,Burner Phone,True
DEV_00307,a487b3df82f7f792,Burner Phone,True
DEV_00308,1820f2fb27d79a51,Router,True
DEV_00309,1fbfabb8cff7519a,Burner Phone,True
DEV_00310,b378892bdcf966f7,Laptop,True
DEV_00311,ed683a008050fd82,Tablet,True
DEV_00312,ebc5a7782f472bb2,Burner Phone,True
DEV_00313,80304876cc29af18,Smartphone,True
DEV_00314,a2850f3769898cc9,Burner Phone,True
DEV_00315,fe14e8d183bf43bf,Burner Phone,True
DEV_00316,981c21eb88d3aa6d,Burner Phone,True
DEV_00317,d9e44e0a896a87c2,Router,True
DEV_00318,53b0bb73c0e98b15,Smartphone,True
DEV_00319,363664eb63b7b3ce,Laptop,True
DEV_00320,2ca5a5044dc91b35,Burner Phone,True
DEV_00321,d7a8d089d3dd2b6a,Smartphone,True
DEV_00322,19a2de103e134565,Tablet,True
