digital_account_id,platform,username_hash,owner_person_id,synthetic_demo_record
DIG_00001,X (Twitter),7eb6be698db1b689,P_03912,True
DIG_00002,X (Twitter),52adb4b0ca1792a9,P_00900,True
DIG_00003,Instagram,a9d04523260545b4,P_00916,True
DIG_00004,X (Twitter),8844fd448f8cc782,P_03893,True
DIG_00005,Instagram,351091a5a9268c29,P_03538,True
DIG_00006,X (Twitter),af65d3131063693a,P_00177,True
DIG_00007,WhatsApp,45efb8acd4b7f613,P_01236,True
DIG_00008,WhatsApp,dd9b4be750dc45d9,P_02133,True
DIG_00009,Instagram,739d62b677e257b0,P_01791,True
DIG_00010,WhatsApp,8ad156bff4d273da,P_01140,True
DIG_00011,WhatsApp,912edf52b5d3e3b9,P_01535,True
DIG_00012,WhatsApp,facf469d11409702,P_03091,True
DIG_00013,WhatsApp,2143cb497cf26a77,P_02207,True
DIG_00014,Instagram,7e924e7fcc3543f9,P_03193,True
DIG_00015,Signal,d97b6f68536c825e,P_02765,True
DIG_00016,WhatsApp,29d9aeaf2898a41c,P_00054,True
DIG_00017,Instagram,0690ffa0b91d793d,P_04692,True
DIG_00018,Telegram,968bc0c171b8240e,P_00527,True
DIG_00019,Instagram,65d703c9e3257153,P_02264,True
DIG_00020,X (Twitter),fdaa045fbbf581dc,P_01020,True
DIG_00021,Instagram,c97c8eb7ef054f43,P_04887,True
DIG_00022,Instagram,ec247ec1d6407d9e,P_03339,True
DIG_00023,WhatsApp,66bfec03a725d691,P_03808,True
DIG_00024,Telegram,7a95b61c90f676e1,P_01247,True
DIG_00025,X (Twitter),1689b930df060eed,P_04287,True
DIG_00026,Telegram,056817b43a2c194a,P_04342,True
DIG_00027,Telegram,0eec9b542ab0d46a,P_01500,True
DIG_00028,X (Twitter),46143ad102deb588,P_01998,True
DIG_00029,WhatsApp,a543af56984bcb51,P_03601,True
DIG_00030,Signal,d33f5e2956cc3cbd,P_04516,True
DIG_00031,Telegram,35df2fb1b830cea9,P_03037,True
DIG_00032,Telegram,937a01a0bf4b1c93,P_02491,True
DIG_00033,X (Twitter),c09407634d4551a4,P_00544,True
DIG_00034,Telegram,bb5d7e2740eb06de,P_00998,True
DIG_00035,Signal,1c842096d27e9f36,P_02596,True
DIG_00036,Telegram,debba1a1ec8bed85,P_00748,True
DIG_00037,Instagram,ca4a2483e60775b0,P_03059,True
DIG_00038,Telegram,309592ac2458a82b,P_02869,True
DIG_00039,Signal,639ecf6be44ccca0,P_04581,True
DIG_00040,WhatsApp,ea08860230408896,P_02094,True
DIG_00041,X (Twitter),3343019084375b5c,P_04234,True
DIG_00042,WhatsApp,5767b537fe3b1ac4,P_01672,True
DIG_00043,X (Twitter),8da4572fc971eabc,P_00837,True
DIG_00044,Signal,5530143ef0ec6a96,P_04553,True
DIG_00045,WhatsApp,d7733c7423866f7e,P_02529,True
DIG_00046,WhatsApp,3c58194c1c2904a3,P_01486,True
DIG_00047,X (Twitter),8bd743566fb199bd,P_01070,True
DIG_00048,Signal,c9d385255628dcee,P_00409,True
DIG_00049,X (Twitter),55af021e9f4a4cfe,P_00038,True
DIG_00050,WhatsApp,87010d9ee8a81aeb,P_00970,True
DIG_00051,Signal,40ce4e00f019a90f,P_01121,True
DIG_00052,X (Twitter),e77dc891c62a4b6d,P_03194,True
DIG_00053,Signal,dd46d2f5dd0b0a97,P_03428,True
DIG_00054,Signal,a4e59335c329125d,P_03596,True
DIG_00055,Instagram,cd6e24109bee8499,P_01588,True
DIG_00056,WhatsApp,b144075059bdde51,P_01593,True
DIG_00057,Signal,5ed7b73d84ec4189,P_01908,True
DIG_00058,Signal,8e22cc4de840044a,P_02038,True
DIG_00059,Instagram,a8b1727195c5ec72,P_03002,True
DIG_00060,Signal,169cd6ddbf280ec1,P_02556,True
DIG_00061,Instagram,dd2e1a3b9f4279c9,P_04035,True
DIG_00062,X (Twitter),11ba71a40ef76106,P_02004,True
DIG_00063,X (Twitter),0d141b3d298515c5,P_04119,True
DIG_00064,Instagram,89d5986e9748ab6a,P_02620,True
DIG_00065,Signal,0e3ae00dcfacc4e8,P_02439,True
DIG_00066,Instagram,415bfe9e7f606298,P_03083,True
DIG_00067,Telegram,ff09c49d945e6dbc,P_01250,True
DIG_00068,X (Twitter),eaa74f67de3b40a9,P_02193,True
DIG_00069,Telegram,797d81c0c00ad024,P_03166,True
DIG_00070,WhatsApp,d9846b342ca057e2,P_04472,True
DIG_00071,Signal,b81e906e3c129c5f,P_04463,True
DIG_00072,WhatsApp,66d7cff346f8cb71,P_03445,True
DIG_00073,Telegram,ef17358a8d5a1fc8,P_01613,True
DIG_00074,Instagram,eead997e40c8a4e8,P_01657,True
DIG_00075,Signal,c05207bcc23e8869,P_00427,True
DIG_00076,Telegram,cf16e1fc47f25e46,P_03529,True
DIG_00077,Signal,1184c88c48506cc9,P_02365,True
DIG_00078,WhatsApp,4cec19ea2d6cddc8,P_02110,True
DIG_00079,Telegram,10009687db5568ba,P_02846,True
DIG_00080,Telegram,981ae28a44814522,P_03691,True
DIG_00081,WhatsApp,363c4bd9b33d5905,P_00904,True
DIG_00082,Signal,fa80bd039a4a2bd5,P_04371,True
DIG_00083,Telegram,dd1a66a5103cc287,P_01954,True
DIG_00084,Instagram,0d4c4099073c407b,P_01498,True
DIG_00085,WhatsApp,f463ff82c28216b2,P_03910,True
DIG_00086,Instagram,b693b664531317ed,P_01331,True
DIG_00087,Signal,37231efbe08400e0,P_04796,True
DIG_00088,X (Twitter),2932304ab54d9e0c,P_03265,True
DIG_00089,Signal,00ad308433f65e40,P_01917,True
DIG_00090,WhatsApp,11fb0ec1044828ba,P_01556,True
DIG_00091,Signal,5c6c1efbebcec0ab,P_03177,True
DIG_00092,Signal,eff89ac92664f8a2,P_01445,True
DIG_00093,Signal,f41de8bb0e28f59d,P_04016,True
DIG_00094,Instagram,0ecbe4a868d031c3,P_04472,True
DIG_00095,Telegram,3aecfc97e9b2df9b,P_03745,True
DIG_00096,Telegram,c405a7d39c4ed3f1,P_02417,True
DIG_00097,WhatsApp,88b1eb0fb044252e,P_04683,True
DIG_00098,Instagram,47ca371ee0ef3294,P_04094,True
DIG_00099,Telegram,48484ca5cc505238,P_03670,True
DIG_00100,Signal,f9056cf24055c6b0,P_03232,True
DIG_00101,X (Twitter),c539c878a4e37801,P_04321,True
DIG_00102,Instagram,dfca4765434184d3,P_03779,True
DIG_00103,Signal,e9c1dd9cf73146e3,P_04506,True
DIG_00104,WhatsApp,77da235625621a67,P_00498,True
DIG_00105,Telegram,a61fcb4c20a8ba2e,P_02398,True
DIG_00106,X (Twitter),36614ec1e34dbfe7,P_01092,True
DIG_00107,Instagram,24432831255f1953,P_03013,True
DIG_00108,Telegram,8ee1d1456e02be19,P_03730,True
DIG_00109,Instagram,a2dfaaf4820e7985,P_00385,True
DIG_00110,X (Twitter),0fec52070d822476,P_01920,True
DIG_00111,Signal,ca351fb4c46ea1d4,P_04093,True
DIG_00112,WhatsApp,03c7ca248b8ab3cf,P_04882,True
DIG_00113,X (Twitter),af4202bda15fe1b6,P_04721,True
DIG_00114,Instagram,1c21ec18048f1ecb,P_01808,True
DIG_00115,Signal,c1538bd9010b4df8,P_02064,True
DIG_00116,WhatsApp,835e3bff4167859f,P_00261,True
DIG_00117,X (Twitter),9394c1466eb08226,P_03842,True
DIG_00118,WhatsApp,9412c0261116d5cf,P_03702,True
DIG_00119,Instagram,2e0c0470a2a4a771,P_04683,True
DIG_00120,WhatsApp,2266fc4884b353b8,P_02115,True
DIG_00121,Telegram,86e8f61885269bcc,P_03033,True
DIG_00122,Signal,61edc31c951d40c9,P_00018,True
DIG_00123,X (Twitter),a92cd9c52bab12cb,P_01227,True
DIG_00124,X (Twitter),4db7d772c9055a0e,P_00462,True
DIG_00125,X (Twitter),760b91e44165184c,P_03160,True
DIG_00126,X (Twitter),ddb7be7c700d7b2e,P_00424,True
DIG_00127,X (Twitter),01a841b55aa22775,P_01240,True
DIG_00128,Instagram,ef4a23ca7e6d71c5,P_02166,True
DIG_00129,Signal,346c44afc9b2a0c0,P_00097,True
DIG_00130,X (Twitter),47f3fa17ca9923b9,P_03514,True
DIG_00131,WhatsApp,f43449b7ece4f7d3,P_02988,True
DIG_00132,X (Twitter),3bc847ba3407092f,P_00531,True
DIG_00133,Signal,45e1cb42ab8933cc,P_01908,True
DIG_00134,Telegram,34fbe0e625c46fd4,P_02922,True
DIG_00135,Instagram,18d3bfa207dc2093,P_02845,True
DIG_00136,Instagram,e594ae097ed5ae00,P_03639,True
DIG_00137,Signal,51d70db5850d1e55,P_03341,True
DIG_00138,Telegram,8244f33c3ba3cf08,P_00909,True
DIG_00139,WhatsApp,d1d841a51d4104b8,P_00064,True
DIG_00140,X (Twitter),a33fc78727791a38,P_02931,True
DIG_00141,Instagram,37b72024a4a730d9,P_02627,True
DIG_00142,WhatsApp,03ae39b34a30134d,P_01998,True
DIG_00143,WhatsApp,eab82fb5ff914ff8,P_02113,True
DIG_00144,Telegram,dcc35838ce993a65,P_02327,True
DIG_00145,Telegram,95830e8272ad1d8c,P_04879,True
DIG_00146,Telegram,35372c1e471b6463,P_03758,True
