record_id,from_digital_account_id,to_digital_account_id,interaction_type,event_time,source_id,synthetic_demo_record
DIR_000001,DIG_05239,DIG_00913,VOIP_CALL,2025-02-05T16:22:52,SOC_API_MONITOR_SIGNAL,True
DIR_000002,DIG_02007,DIG_01829,DIRECT_MESSAGE,2025-04-22T13:22:27,SOC_API_MONITOR_X (TWITTER),True
DIR_000003,DIG_05544,DIG_04468,GROUP_INVITE,2025-04-05T13:50:07,SOC_API_MONITOR_INSTAGRAM,True
DIR_000004,DIG_00261,DIG_00245,TAG_MENTION,2025-04-07T22:33:55,SOC_API_MONITOR_X (TWITTER),True
DIR_000005,DIG_01906,DIG_04140,DIRECT_MESSAGE,2026-10-13T23:39:35,SOC_API_MONITOR_X (TWITTER),True
DIR_000006,DIG_04598,DIG_01629,GROUP_INVITE,2027-02-27T17:01:01,SOC_API_MONITOR_X (TWITTER),True
DIR_000007,DIG_01806,DIG_03680,VOIP_CALL,2026-09-23T13:58:48,SOC_API_MONITOR_X (TWITTER),True
DIR_000008,DIG_00054,DIG_01308,GROUP_INVITE,2027-02-07T15:39:30,SOC_API_MONITOR_SIGNAL,True
DIR_000009,DIG_02788,DIG_02277,TAG_MENTION,2025-04-30T16:38:10,SOC_API_MONITOR_X (TWITTER),True
DIR_000010,DIG_02758,DIG_00838,GROUP_INVITE,2025-04-07T11:29:19,SOC_API_MONITOR_SIGNAL,True
DIR_000011,DIG_00793,DIG_02941,VOIP_CALL,2027-07-25T02:02:11,SOC_API_MONITOR_SIGNAL,True
DIR_000012,DIG_04946,DIG_02167,DIRECT_MESSAGE,2027-06-16T10:37:34,SOC_API_MONITOR_WHATSAPP,True
DIR_000013,DIG_05978,DIG_03764,DIRECT_MESSAGE,2026-08-02T06:31:48,SOC_API_MONITOR_SIGNAL,True
DIR_000014,DIG_03101,DIG_00646,VOIP_CALL,2026-08-21T11:57:34,SOC_API_MONITOR_TELEGRAM,True
DIR_000015,DIG_05150,DIG_05067,VOIP_CALL,2027-09-15T02:01:32,SOC_API_MONITOR_WHATSAPP,True
DIR_000016,DIG_04730,DIG_01576,DIRECT_MESSAGE,2027-02-16T03:18:39,SOC_API_MONITOR_X (TWITTER),True
DIR_000017,DIG_00376,DIG_05418,VOIP_CALL,2025-07-27T16:45:32,SOC_API_MONITOR_WHATSAPP,True
DIR_000018,DIG_00654,DIG_01908,DIRECT_MESSAGE,2027-08-23T10:03:31,SOC_API_MONITOR_SIGNAL,True
DIR_000019,DIG_03114,DIG_02278,VOIP_CALL,2026-05-06T14:29:58,SOC_API_MONITOR_X (TWITTER),True
