document_id,case_id,document_type,language,text_hash,raw_text_ref,source_id,created_at,synthetic_demo_record
DOC_FIR_0001,1,FIRST_INFORMATION_REPORT,English,0dd4d7696b42cf6d,"MUMBAI POLICE DEPARTMENT - FIRST INFORMATION REPORT (SYNTHETIC RECORD)
FIR No: CASE_2025_0001 | Station: Byculla Police Station | Date: 2025-01-04
Investigating Officer: Inspector S. V. Kadam (Formal Terse)

NARRATIVE STATEMENT:
Respectfully reported that on the stated date and time, complainant reported an offense.

Incident Details:
On 2025-01-04 at approximately 15:41 hours near Colaba Causeway Sector-62, an incident adhering to MO category [Vehicle Theft Ring] was reported.

Accused / Suspects Mentioned in Report:

- Saumya Solanki (Alias: S. Solanki, Phone: Phone On Record)

- Amara Chahal (Alias: A. Chahal, Phone: Phone On Record)

- Logan Sarma (Alias: L. Sarma, Phone: Phone On Record)


Sequence of Events Observed:

1. Thereafter, Observe Target Vehicle

2. Thereafter, Approach With Master Key Or Device

3. Thereafter, Disable Security Tracker

4. Thereafter, Steal And Drive Away

5. Thereafter, Replace Plate Number

6. Thereafter, Transport To Outstation Warehouse


Vehicles / Assets Identified:

- Vehicle Reg No:  ( Hyundai Creta)


OFFICER CONCLUSION:
FIR registered under relevant sections. Investigation handed over to Sub-Inspector.
*** SYNTHETIC DEMO RECORD - NOT A REAL CASE ***",CCTNS_000001,2025-01-04T15:41:22,True
DOC_FIR_0002,2,FIRST_INFORMATION_REPORT,English,6370d3d387c6427a,"MUMBAI POLICE DEPARTMENT - FIRST INFORMATION REPORT (SYNTHETIC RECORD)
FIR No: CASE_2025_0002 | Station: Chembur Police Station | Date: 2025-01-05
Investigating Officer: Sub-Inspector R. P. Patil (Verbose Detailed)

NARRATIVE STATEMENT:
On duty at police station, complainant presented in person with written application stating facts.

Incident Details:
On 2025-01-05 at approximately 14:55 hours near Thane Station West Sector-137, an incident adhering to MO category [ATM/Card Skimming Racket] was reported.

Accused / Suspects Mentioned in Report:

- Nimrat Memon (Alias: N. Memon, Phone: Phone On Record)

- Harrison Sankar (Alias: H. Sankar, Phone: Phone On Record)

- Dalaja Shan (Alias: D. Shan, Phone: Phone On Record)

- Vedika Thaker (Alias: V. Thaker, Phone: Phone On Record)

- Lakshmi Mane (Alias: L. Mane, Phone: Phone On Record)


Sequence of Events Observed:

1. Upon further inquiry into the sequence of events, it transpired that Inspect Unattended Kiosk

2. Upon further inquiry into the sequence of events, it transpired that Attach Skimmer Overlay

3. Upon further inquiry into the sequence of events, it transpired that Install Pinhole Camera

4. Upon further inquiry into the sequence of events, it transpired that Harvest Magnetic Stripe Data

5. Upon further inquiry into the sequence of events, it transpired that Encode Cloned Cards

6. Upon further inquiry into the sequence of events, it transpired that Execute Unauthorized Withdrawals


Vehicles / Assets Identified:

- Vehicle Reg No:  ( Tata Nexon)


OFFICER CONCLUSION:
Spot panchnama conducted. Evidence seized and sent for forensic evaluation.
*** SYNTHETIC DEMO RECORD - NOT A REAL CASE ***",CCTNS_000002,2025-01-05T14:55:36,True
DOC_FIR_0003,3,FIRST_INFORMATION_REPORT,English,f79c461f6ebe8f0d,"MUMBAI POLICE DEPARTMENT - FIRST INFORMATION REPORT (SYNTHETIC RECORD)
FIR No: CASE_2025_0003 | Station: Kurla Police Station | Date: 2025-01-06
Investigating Officer: Inspector S. V. Kadam (Formal Terse)

NARRATIVE STATEMENT:
Respectfully reported that on the stated date and time, complainant reported an offense.

Incident Details:
On 2025-01-06 at approximately 18:10 hours near Thane Station West Sector-197, an incident adhering to MO category [Two-Wheeler Chain Snatching] was reported.

Accused / Suspects Mentioned in Report:

- Unni Aggarwal (Alias: U. Aggarwal, Phone: Phone On Record)

- Fiyaz Ben (Alias: F. Ben, Phone: Phone On Record)


Sequence of Events Observed:

1. Thereafter, Survey Pedestrian Victim

2. Thereafter, Approach On Unidentified Motorcycle

3. Thereafter, Pillion Rider Snatches Valuable

4. Thereafter, Accelerate Through Narrow By-Lanes

5. Thereafter, Deliver Loot To Fencer


Vehicles / Assets Identified:

- Vehicle Reg No:  ( Tata Nexon)


OFFICER CONCLUSION:
FIR registered under relevant sections. Investigation handed over to Sub-Inspector.
*** SYNTHETIC DEMO RECORD - NOT A REAL CASE ***",CCTNS_000003,2025-01-06T18:10:10,True
DOC_FIR_0004,4,FIRST_INFORMATION_REPORT,English,7a552ed5638cc4bc,"MUMBAI POLICE DEPARTMENT - FIRST INFORMATION REPORT (SYNTHETIC RECORD)
FIR No: CASE_2025_0004 | Station: Bandra Police Station | Date: 2025-01-07
Investigating Officer: Assistant Inspector A. B. Deshmukh (Conversational Narrative)

NARRATIVE STATEMENT:
Information received via control room dispatch regarding suspicious activity in progress.

Incident Details:
On 2025-01-07 at approximately 05:26 hours near Kurla West Terminus Sector-26, an incident adhering to MO category [Cyber Fraud Call Center] was reported.

Accused / Suspects Mentioned in Report:

- Benjamin Dalal (Alias: B. Dalal, Phone: Phone On Record)

- Isaac Dhaliwal (Alias: I. Dhaliwal, Phone: Phone On Record)

- Victor Keer (Alias: V. Keer, Phone: Phone On Record)

- Falak Sachar (Alias: F. Sachar, Phone: Phone On Record)

- Veda Parsa (Alias: V. Parsa, Phone: Phone On Record)


Sequence of Events Observed:

1. The victim narrated that suddenly Spoof Official Bank Helpline

2. The victim narrated that suddenly Contact Target Victim

3. The victim narrated that suddenly Induce Panic Regarding Account Block

4. The victim narrated that suddenly Extract Otp And Credentials

5. The victim narrated that suddenly Initiate Unauthorized Fund Transfer

6. The victim narrated that suddenly Layer Funds Across Mule Accounts


Vehicles / Assets Identified:

- Vehicle Reg No:  ( Toyota Innova)


OFFICER CONCLUSION:
CCTV footage being retrieved from nearby establishments to trace accused.
*** SYNTHETIC DEMO RECORD - NOT A REAL CASE ***",CCTNS_000004,2025-01-07T05:26:37,True
DOC_FIR_0005,5,FIRST_INFORMATION_REPORT,English,4caaf69168c28a2e,"MUMBAI POLICE DEPARTMENT - FIRST INFORMATION REPORT (SYNTHETIC RECORD)
FIR No: CASE_2025_0005 | Station: Malad Police Station | Date: 2025-01-08
Investigating Officer: Inspector S. V. Kadam (Formal Terse)

NARRATIVE STATEMENT:
Respectfully reported that on the stated date and time, complainant reported an offense.

Incident Details:
On 2025-01-08 at approximately 20:56 hours near Dharavi Commercial Complex Sector-101, an incident adhering to MO category [Commercial Extortion Racket] was reported.

Accused / Suspects Mentioned in Report:

- Lavanya Kata (Alias: L. Kata, Phone: Phone On Record)

- Jagat Chahal (Alias: J. Chahal, Phone: Phone On Record)

- Rohan Balay (Alias: R. Balay, Phone: Phone On Record)


Sequence of Events Observed:

1. Thereafter, Identify Prominent Local Trader

2. Thereafter, Send Covert Intimidation Message

3. Thereafter, Demand Recurring Protection Money

4. Thereafter, Specify Hawala Or Cash Drop

5. Thereafter, Verify Fund Receipt Via Courier


Vehicles / Assets Identified:

- Vehicle Reg No:  ( Royal Enfield Classic 350)


OFFICER CONCLUSION:
FIR registered under relevant sections. Investigation handed over to Sub-Inspector.
*** SYNTHETIC DEMO RECORD - NOT A REAL CASE ***",CCTNS_000005,2025-01-08T20:56:32,True
DOC_FIR_0006,6,FIRST_INFORMATION_REPORT,English,99a5cde8c19e1a82,"MUMBAI POLICE DEPARTMENT - FIRST INFORMATION REPORT (SYNTHETIC RECORD)
FIR No: CASE_2025_0006 | Station: Worli Police Station | Date: 2025-01-11
Investigating Officer: Inspector S. V. Kadam (Formal Terse)

NARRATIVE STATEMENT:
Respectfully reported that on the stated date and time, complainant reported an offense.

Incident Details:
On 2025-01-11 at approximately 06:15 hours near Juhu Tara Road Sector-27, an incident adhering to MO category [Narcotics Courier Network] was reported.

Accused / Suspects Mentioned in Report:

- Kashish Chahal (Alias: K. Chahal, Phone: Phone On Record)

- Amol Bali (Alias: A. Bali, Phone: Phone On Record)


Sequence of Events Observed:

1. Thereafter, Procure Contraband Consignment

2. Thereafter, Conceal In Commercial Cargo

3. Thereafter, Transport Via Interstate Transport

4. Thereafter, Drop At Designated Transit Point

5. Thereafter, Handoff To Local Distributor


Vehicles / Assets Identified:

- Vehicle Reg No:  ( TVS Jupiter)


OFFICER CONCLUSION:
FIR registered under relevant sections. Investigation handed over to Sub-Inspector.
*** SYNTHETIC DEMO RECORD - NOT A REAL CASE ***",CCTNS_000006,2025-01-11T06:15:27,True
DOC_FIR_0007,7,FIRST_INFORMATION_REPORT,English,646595399846e2b3,"MUMBAI POLICE DEPARTMENT - FIRST INFORMATION REPORT (SYNTHETIC RECORD)
FIR No: CASE_2025_0007 | Station: Bandra Police Station | Date: 2025-01-13
Investigating Officer: Inspector S. V. Kadam (Formal Terse)

NARRATIVE STATEMENT:
Respectfully reported that on the stated date and time, complainant reported an offense.

Incident Details:
On 2025-01-13 at approximately 08:34 hours near Borivali West Station Area Sector-134, an incident adhering to MO category [Vehicle Theft Ring] was reported.

Accused / Suspects Mentioned in Report:

- Oliver Pal (Alias: O. Pal, Phone: Phone On Record)

- Bachittar Kant (Alias: B. Kant, Phone: Phone On Record)

- Nidhi Kar (Alias: N. Kar, Phone: Phone On Record)

- Nidhi Mital (Alias: N. Mital, Phone: Phone On Record)


Sequence of Events Observed:

1. Thereafter, Observe Target Vehicle

2. Thereafter, Approach With Master Key Or Device

3. Thereafter, Disable Security Tracker

4. Thereafter, Steal And Drive Away

5. Thereafter, Replace Plate Number

6. Thereafter, Transport To Outstation Warehouse


Vehicles / Assets Identified:

- Vehicle Reg No:  ( Toyota Innova)


OFFICER CONCLUSION:
FIR registered under relevant sections. Investigation handed over to Sub-Inspector.
*** SYNTHETIC DEMO RECORD - NOT A REAL CASE ***",CCTNS_000007,2025-01-13T08:34:30,True
DOC_FIR_0008,8,FIRST_INFORMATION_REPORT,English,619884f14d365ef8,"MUMBAI POLICE DEPARTMENT - FIRST INFORMATION REPORT (SYNTHETIC RECORD)
FIR No: CASE_2025_0008 | Station: Malad Police Station | Date: 2025-01-14
Investigating Officer: Assistant Inspector A. B. Deshmukh (Conversational Narrative)

NARRATIVE STATEMENT:
Information received via control room dispatch regarding suspicious activity in progress.

Incident Details:
On 2025-01-14 at approximately 17:50 hours near Dadar TT Circle Sector-208, an incident adhering to MO category [ATM/Card Skimming Racket] was reported.

Accused / Suspects Mentioned in Report:

- Yachana Palla (Alias: Y. Palla, Phone: Phone On Record)

- Arin Ray (Alias: A. Ray, Phone: Phone On Record)

- Avni Chana (Alias: A. Chana, Phone: Phone On Record)

- Kashvi Narula (Alias: K. Narula, Phone: Phone On Record)


Sequence of Events Observed:

1. The victim narrated that suddenly Inspect Unattended Kiosk

2. The victim narrated that suddenly Attach Skimmer Overlay

3. The victim narrated that suddenly Install Pinhole Camera

4. The victim narrated that suddenly Harvest Magnetic Stripe Data

5. The victim narrated that suddenly Encode Cloned Cards

6. The victim narrated that suddenly Execute Unauthorized Withdrawals


Vehicles / Assets Identified:

- No vehicle directly identified on spot.


OFFICER CONCLUSION:
CCTV footage being retrieved from nearby establishments to trace accused.
*** SYNTHETIC DEMO RECORD - NOT A REAL CASE ***",CCTNS_000008,2025-01-14T17:50:51,True
DOC_FIR_0009,9,FIRST_INFORMATION_REPORT,English,0b660c39db92e5b2,"MUMBAI POLICE DEPARTMENT - FIRST INFORMATION REPORT (SYNTHETIC RECORD)
FIR No: CASE_2025_0009 | Station: Malad Police Station | Date: 2025-01-16
Investigating Officer: Inspector S. V. Kadam (Formal Terse)

NARRATIVE STATEMENT:
Respectfully reported that on the stated date and time, complainant reported an offense.

Incident Details:
On 2025-01-16 at approximately 09:40 hours near Andheri East MIDC Sector-45, an incident adhering to MO category [Two-Wheeler Chain Snatching] was reported.

Accused / Suspects Mentioned in Report:

- Lajita Reddy (Alias: L. Reddy, Phone: Phone On Record)

- Krishna Mahajan (Alias: K. Mahajan, Phone: Phone On Record)

- Lavanya Kurian (Alias: L. Kurian, Phone: Phone On Record)


Sequence of Events Observed:

1. Thereafter, Survey Pedestrian Victim

2. Thereafter, Approach On Unidentified Motorcycle

3. Thereafter, Pillion Rider Snatches Valuable

4. Thereafter, Accelerate Through Narrow By-Lanes

5. Thereafter, Deliver Loot To Fencer


Vehicles / Assets Identified:

- Vehicle Reg No:  ( Toyota Innova)


OFFICER CONCLUSION:
FIR registered under relevant sections. Investigation handed over to Sub-Inspector.
*** SYNTHETIC DEMO RECORD - NOT A REAL CASE ***",CCTNS_000009,2025-01-16T09:40:03,True
DOC_FIR_0010,10,FIRST_INFORMATION_REPORT,English,07b11cd5b637d370,"MUMBAI POLICE DEPARTMENT - FIRST INFORMATION REPORT (SYNTHETIC RECORD)
FIR No: CASE_2025_0010 | Station: Byculla Police Station | Date: 2025-01-18
Investigating Officer: Assistant Inspector A. B. Deshmukh (Conversational Narrative)

NARRATIVE STATEMENT:
Information received via control room dispatch regarding suspicious activity in progress.

Incident Details:
On 2025-01-18 at approximately 01:53 hours near Colaba Causeway Sector-62, an incident adhering to MO category [Cyber Fraud Call Center] was reported.

Accused / Suspects Mentioned in Report:

- Jeevika Taneja (Alias: J. Taneja, Phone: Phone On Record)

- Raghav Seth (Alias: R. Seth, Phone: Phone On Record)

- Hemal Wagle (Alias: H. Wagle, Phone: Phone On Record)

- Gavin Sule (Alias: G. Sule, Phone: Phone On Record)

- Nathaniel Subramanian (Alias: N. Subramanian, Phone: Phone On Record)


Sequence of Events Observed:

1. The victim narrated that suddenly Spoof Official Bank Helpline

2. The victim narrated that suddenly Contact Target Victim

3. The victim narrated that suddenly Induce Panic Regarding Account Block

4. The victim narrated that suddenly Extract Otp And Credentials

5. The victim narrated that suddenly Initiate Unauthorized Fund Transfer

6. The victim narrated that suddenly Layer Funds Across Mule Accounts


Vehicles / Assets Identified:

- Vehicle Reg No:  ( TVS Jupiter)


OFFICER CONCLUSION:
CCTV footage being retrieved from nearby establishments to trace accused.
*** SYNTHETIC DEMO RECORD - NOT A REAL CASE ***",CCTNS_000010,2025-01-18T01:53:46,True
