event_id,event_type,timestamp,location_id,participants_json,attributes_json,synthetic_demo_record
EVT_0001,CrimeOccurrence,2025-01-04T15:41:22,LOC_0062,"['P_04187', 'P_04210', 'P_04036']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0002,CrimeOccurrence,2025-01-05T14:55:36,LOC_0137,"['P_00982', 'P_00886', 'P_00780', 'P_00606', 'P_00962']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
EVT_0003,CrimeOccurrence,2025-01-06T18:10:10,LOC_0197,"['P_04495', 'P_04161']",{'mo_family': 'CHAIN_SNATCHING'},True
EVT_0004,CrimeOccurrence,2025-01-07T05:26:37,LOC_0026,"['P_04800', 'P_01921', 'P_04561', 'P_04614', 'P_04750']",{'mo_family': 'VEHICLE_THEFT_RING'},True
EVT_0005,CrimeOccurrence,2025-01-08T20:56:32,LOC_0101,"['P_04798', 'P_04756', 'P_04881']",{'mo_family': 'EXTORTION_RACKET'},True
EVT_0006,CrimeOccurrence,2025-01-11T06:15:27,LOC_0027,"['P_02808', 'P_02826']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0007,CrimeOccurrence,2025-01-13T08:34:30,LOC_0134,"['P_02972', 'P_02791', 'P_02717', 'P_02854']",{'mo_family': 'ATM_CARD_SKIMMING'},True
EVT_0008,CrimeOccurrence,2025-01-14T17:50:51,LOC_0208,"['P_03606', 'P_01867', 'P_03707', 'P_01104']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0009,CrimeOccurrence,2025-01-16T09:40:03,LOC_0045,"['P_00896', 'P_02333', 'P_00744']",{'mo_family': 'NARCOTICS_COURIER_NETWORK'},True
EVT_0010,CrimeOccurrence,2025-01-18T01:53:46,LOC_0062,"['P_01760', 'P_01900', 'P_01614', 'P_03117', 'P_03846']",{'mo_family': 'CYBER_FRAUD_CALL_CENTER'},True
