evidence_id,source_type,source_id,source_location,evidence_class,reliability,created_at,synthetic_demo_record
EVI_FIR_0001,CaseMaster_FIR,CASE_2025_0001,Byculla Police Station Records,Primary_Documentary,0.95,2025-01-04T15:41:22,True
EVI_FIR_0002,CaseMaster_FIR,CASE_2025_0002,Chembur Police Station Records,Primary_Documentary,0.95,2025-01-05T14:55:36,True
EVI_FIR_0003,CaseMaster_FIR,CASE_2025_0003,Kurla Police Station Records,Primary_Documentary,0.95,2025-01-06T18:10:10,True
EVI_FIR_0004,CaseMaster_FIR,CASE_2025_0004,Bandra Police Station Records,Primary_Documentary,0.95,2025-01-07T05:26:37,True
EVI_FIR_0005,CaseMaster_FIR,CASE_2025_0005,Malad Police Station Records,Primary_Documentary,0.95,2025-01-08T20:56:32,True
EVI_FIR_0006,CaseMaster_FIR,CASE_2025_0006,Worli Police Station Records,Primary_Documentary,0.95,2025-01-11T06:15:27,True
EVI_FIR_0007,CaseMaster_FIR,CASE_2025_0007,Bandra Police Station Records,Primary_Documentary,0.95,2025-01-13T08:34:30,True
EVI_FIR_0008,CaseMaster_FIR,CASE_2025_0008,Malad Police Station Records,Primary_Documentary,0.95,2025-01-14T17:50:51,True
EVI_FIR_0009,CaseMaster_FIR,CASE_2025_0009,Malad Police Station Records,Primary_Documentary,0.95,2025-01-16T09:40:03,True
EVI_FIR_0010,CaseMaster_FIR,CASE_2025_0010,Byculla Police Station Records,Primary_Documentary,0.95,2025-01-18T01:53:46,True
EVI_FIR_0011,CaseMaster_FIR,CASE_2025_0011,Worli Police Station Records,Primary_Documentary,0.95,2025-01-18T04:29:59,True
EVI_FIR_0012,CaseMaster_FIR,CASE_2025_0012,Borivali Police Station Records,Primary_Documentary,0.95,2025-01-18T05:45:01,True
EVI_FIR_0013,CaseMaster_FIR,CASE_2025_0013,Colaba Police Station Records,Primary_Documentary,0.95,2025-01-18T20:05:05,True
EVI_FIR_0014,CaseMaster_FIR,CASE_2025_0014,Worli Police Station Records,Primary_Documentary,0.95,2025-01-18T21:15:50,True
EVI_FIR_0015,CaseMaster_FIR,CASE_2025_0015,Dharavi Police Station Records,Primary_Documentary,0.95,2025-01-20T20:29:52,True
EVI_FIR_0016,CaseMaster_FIR,CASE_2025_0016,Juhu Police Station Records,Primary_Documentary,0.95,2025-01-21T13:05:27,True
EVI_FIR_0017,CaseMaster_FIR,CASE_2025_0017,Worli Police Station Records,Primary_Documentary,0.95,2025-01-23T22:58:39,True
