evidence_link_id,evidence_id,target_type,target_id,support_type,contribution_weight,synthetic_demo_record
EVL_REL_000001,EVI_CDR_CDR_000001,Relationship,REL_000001,Direct_Observation,1.0,True
EVL_REL_000002,EVI_CDR_CDR_000002,Relationship,REL_000002,Direct_Observation,1.0,True
EVL_REL_000003,EVI_CDR_CDR_000003,Relationship,REL_000003,Direct_Observation,1.0,True
EVL_REL_000004,EVI_CDR_CDR_000004,Relationship,REL_000004,Direct_Observation,1.0,True
EVL_REL_000005,EVI_CDR_CDR_000005,Relationship,REL_000005,Direct_Observation,1.0,True
EVL_REL_000006,EVI_CDR_CDR_000006,Relationship,REL_000006,Direct_Observation,1.0,True
EVL_REL_000007,EVI_CDR_CDR_000007,Relationship,REL_000007,Direct_Observation,1.0,True
EVL_REL_000008,EVI_CDR_CDR_000008,Relationship,REL_000008,Direct_Observation,1.0,True
EVL_REL_000009,EVI_CDR_CDR_000009,Relationship,REL_000009,Direct_Observation,1.0,True
EVL_REL_000010,EVI_CDR_CDR_000010,Relationship,REL_000010,Direct_Observation,1.0,True
EVL_REL_000011,EVI_CDR_CDR_000011,Relationship,REL_000011,Direct_Observation,1.0,True
EVL_REL_000012,EVI_CDR_CDR_000012,Relationship,REL_000012,Direct_Observation,1.0,True
EVL_REL_000013,EVI_CDR_CDR_000013,Relationship,REL_000013,Direct_Observation,1.0,True
EVL_REL_000014,EVI_CDR_CDR_000014,Relationship,REL_000014,Direct_Observation,1.0,True
EVL_REL_000015,EVI_CDR_CDR_000015,Relationship,REL_000015,Direct_Observation,1.0,True
EVL_REL_000016,EVI_CDR_CDR_000016,Relationship,REL_000016,Direct_Observation,1.0,True
EVL_REL_000017,EVI_CDR_CDR_000017,Relationship,REL_000017,Direct_Observation,1.0,True
EVL_REL_000018,EVI_CDR_CDR_000018,Relationship,REL_000018,Direct_Observation,1.0,True
EVL_REL_000019,EVI_CDR_CDR_000019,Relationship,REL_000019,Direct_Observation,1.0,True
EVL_REL_000020,EVI_CDR_CDR_000020,Relationship,REL_000020,Direct_Observation,1.0,True
EVL_REL_000021,EVI_CDR_CDR_000021,Relationship,REL_000021,Direct_Observation,1.0,True
EVL_REL_000022,EVI_CDR_CDR_000022,Relationship,REL_000022,Direct_Observation,1.0,True
EVL_REL_000023,EVI_CDR_CDR_000023,Relationship,REL_000023,Direct_Observation,1.0,True
EVL_REL_000024,EVI_CDR_CDR_000024,Relationship,REL_000024,Direct_Observation,1.0,True
EVL_REL_000025,EVI_CDR_CDR_000025,Relationship,REL_000025,Direct_Observation,1.0,True
EVL_REL_000026,EVI_CDR_CDR_000026,Relationship,REL_000026,Direct_Observation,1.0,True
EVL_REL_000027,EVI_CDR_CDR_000027,Relationship,REL_000027,Direct_Observation,1.0,True
EVL_REL_000028,EVI_CDR_CDR_000028,Relationship,REL_000028,Direct_Observation,1.0,True
EVL_REL_000029,EVI_CDR_CDR_000029,Relationship,REL_000029,Direct_Observation,1.0,True
EVL_REL_000030,EVI_CDR_CDR_000030,Relationship,REL_000030,Direct_Observation,1.0,True
EVL_REL_000031,EVI_CDR_CDR_000031,Relationship,REL_000031,Direct_Observation,1.0,True
EVL_REL_000032,EVI_CDR_CDR_000032,Relationship,REL_000032,Direct_Observation,1.0,True
EVL_REL_000033,EVI_CDR_CDR_000033,Relationship,REL_000033,Direct_Observation,1.0,True
EVL_REL_000034,EVI_CDR_CDR_000034,Relationship,REL_000034,Direct_Observation,1.0,True
