location_alias_id,location_id,source_text,normalized_text,synthetic_demo_record
LOC_ALIAS_0001,LOC_0001,Colloquial spot near Dharavi Commercial Complex,Dharavi Commercial Complex Sector-1,True
LOC_ALIAS_0002,LOC_0002,Colloquial spot near Colaba Causeway,Colaba Causeway Sector-2,True
LOC_ALIAS_0003,LOC_0003,Colloquial spot near Crawford Market,Crawford Market Sector-3,True
LOC_ALIAS_0004,LOC_0004,Colloquial spot near Bandra Kurla Complex,Bandra Kurla Complex Sector-4,True
LOC_ALIAS_0005,LOC_0005,Colloquial spot near Andheri East MIDC,Andheri East MIDC Sector-5,True
LOC_ALIAS_0006,LOC_0006,Colloquial spot near Kurla West Terminus,Kurla West Terminus Sector-6,True
LOC_ALIAS_0007,LOC_0007,Colloquial spot near Juhu Tara Road,Juhu Tara Road Sector-7,True
LOC_ALIAS_0008,LOC_0008,Colloquial spot near Dadar TT Circle,Dadar TT Circle Sector-8,True
LOC_ALIAS_0009,LOC_0009,Colloquial spot near Worli Sea Face,Worli Sea Face Sector-9,True
LOC_ALIAS_0010,LOC_0010,Colloquial spot near Lower Parel Business Park,Lower Parel Business Park Sector-10,True
LOC_ALIAS_0011,LOC_0011,Colloquial spot near Ghatkopar Central Mall,Ghatkopar Central Mall Sector-11,True
LOC_ALIAS_0012,LOC_0012,Colloquial spot near Chembur Colony,Chembur Colony Sector-12,True
LOC_ALIAS_0013,LOC_0013,Colloquial spot near Malad Link Road,Malad Link Road Sector-13,True
LOC_ALIAS_0014,LOC_0014,Colloquial spot near Borivali West Station Area,Borivali West Station Area Sector-14,True
LOC_ALIAS_0015,LOC_0015,Colloquial spot near Byculla Market,Byculla Market Sector-15,True
LOC_ALIAS_0016,LOC_0016,Colloquial spot near Sewri Timber Market,Sewri Timber Market Sector-16,True
LOC_ALIAS_0017,LOC_0017,Colloquial spot near Thane Station West,Thane Station West Sector-17,True
LOC_ALIAS_0018,LOC_0018,Colloquial spot near Navi Mumbai Vashi Sector 17,Navi Mumbai Vashi Sector 17 Sector-18,True
LOC_ALIAS_0019,LOC_0019,Colloquial spot near Sion Circle,Sion Circle Sector-19,True
LOC_ALIAS_0020,LOC_0020,Colloquial spot near Tardeo Road,Tardeo Road Sector-20,True
LOC_ALIAS_0021,LOC_0021,Colloquial spot near Dharavi Commercial Complex,Dharavi Commercial Complex Sector-21,True
LOC_ALIAS_0022,LOC_0022,Colloquial spot near Colaba Causeway,Colaba Causeway Sector-22,True
LOC_ALIAS_0023,LOC_0023,Colloquial spot near Crawford Market,Crawford Market Sector-23,True
LOC_ALIAS_0024,LOC_0024,Colloquial spot near Bandra Kurla Complex,Bandra Kurla Complex Sector-24,True
LOC_ALIAS_0025,LOC_0025,Colloquial spot near Andheri East MIDC,Andheri East MIDC Sector-25,True
LOC_ALIAS_0026,LOC_0026,Colloquial spot near Kurla West Terminus,Kurla West Terminus Sector-26,True
LOC_ALIAS_0027,LOC_0027,Colloquial spot near Juhu Tara Road,Juhu Tara Road Sector-27,True
LOC_ALIAS_0028,LOC_0028,Colloquial spot near Dadar TT Circle,Dadar TT Circle Sector-28,True
LOC_ALIAS_0029,LOC_0029,Colloquial spot near Worli Sea Face,Worli Sea Face Sector-29,True
LOC_ALIAS_0030,LOC_0030,Colloquial spot near Lower Parel Business Park,Lower Parel Business Park Sector-30,True
LOC_ALIAS_0031,LOC_0031,Colloquial spot near Ghatkopar Central Mall,Ghatkopar Central Mall Sector-31,True
LOC_ALIAS_0032,LOC_0032,Colloquial spot near Chembur Colony,Chembur Colony Sector-32,True
LOC_ALIAS_0033,LOC_0033,Colloquial spot near Malad Link Road,Malad Link Road Sector-33,True
LOC_ALIAS_0034,LOC_0034,Colloquial spot near Borivali West Station Area,Borivali West Station Area Sector-34,True
LOC_ALIAS_0035,LOC_0035,Colloquial spot near Byculla Market,Byculla Market Sector-35,True
LOC_ALIAS_0036,LOC_0036,Colloquial spot near Sewri Timber Market,Sewri Timber Market Sector-36,True
LOC_ALIAS_0037,LOC_0037,Colloquial spot near Thane Station West,Thane Station West Sector-37,True
LOC_ALIAS_0038,LOC_0038,Colloquial spot near Navi Mumbai Vashi Sector 17,Navi Mumbai Vashi Sector 17 Sector-38,True
LOC_ALIAS_0039,LOC_0039,Colloquial spot near Sion Circle,Sion Circle Sector-39,True
LOC_ALIAS_0040,LOC_0040,Colloquial spot near Tardeo Road,Tardeo Road Sector-40,True
LOC_ALIAS_0041,LOC_0041,Colloquial spot near Dharavi Commercial Complex,Dharavi Commercial Complex Sector-41,True
LOC_ALIAS_0042,LOC_0042,Colloquial spot near Colaba Causeway,Colaba Causeway Sector-42,True
LOC_ALIAS_0043,LOC_0043,Colloquial spot near Crawford Market,Crawford Market Sector-43,True
LOC_ALIAS_0044,LOC_0044,Colloquial spot near Bandra Kurla Complex,Bandra Kurla Complex Sector-44,True
LOC_ALIAS_0045,LOC_0045,Colloquial spot near Andheri East MIDC,Andheri East MIDC Sector-45,True
LOC_ALIAS_0046,LOC_0046,Colloquial spot near Kurla West Terminus,Kurla West Terminus Sector-46,True
LOC_ALIAS_0047,LOC_0047,Colloquial spot near Juhu Tara Road,Juhu Tara Road Sector-47,True
LOC_ALIAS_0048,LOC_0048,Colloquial spot near Dadar TT Circle,Dadar TT Circle Sector-48,True
LOC_ALIAS_0049,LOC_0049,Colloquial spot near Worli Sea Face,Worli Sea Face Sector-49,True
LOC_ALIAS_0050,LOC_0050,Colloquial spot near Lower Parel Business Park,Lower Parel Business Park Sector-50,True
LOC_ALIAS_0051,LOC_0051,Colloquial spot near Ghatkopar Central Mall,Ghatkopar Central Mall Sector-51,True
LOC_ALIAS_0052,LOC_0052,Colloquial spot near Chembur Colony,Chembur Colony Sector-52,True
LOC_ALIAS_0053,LOC_0053,Colloquial spot near Malad Link Road,Malad Link Road Sector-53,True
LOC_ALIAS_0054,LOC_0054,Colloquial spot near Borivali West Station Area,Borivali West Station Area Sector-54,True
LOC_ALIAS_0055,LOC_0055,Colloquial spot near Byculla Market,Byculla Market Sector-55,True
LOC_ALIAS_0056,LOC_0056,Colloquial spot near Sewri Timber Market,Sewri Timber Market Sector-56,True
LOC_ALIAS_0057,LOC_0057,Colloquial spot near Thane Station West,Thane Station West Sector-57,True
LOC_ALIAS_0058,LOC_0058,Colloquial spot near Navi Mumbai Vashi Sector 17,Navi Mumbai Vashi Sector 17 Sector-58,True
LOC_ALIAS_0059,LOC_0059,Colloquial spot near Sion Circle,Sion Circle Sector-59,True
LOC_ALIAS_0060,LOC_0060,Colloquial spot near Tardeo Road,Tardeo Road Sector-60,True
LOC_ALIAS_0061,LOC_0061,Colloquial spot near Dharavi Commercial Complex,Dharavi Commercial Complex Sector-61,True
LOC_ALIAS_0062,LOC_0062,Colloquial spot near Colaba Causeway,Colaba Causeway Sector-62,True
LOC_ALIAS_0063,LOC_0063,Colloquial spot near Crawford Market,Crawford Market Sector-63,True
LOC_ALIAS_0064,LOC_0064,Colloquial spot near Bandra Kurla Complex,Bandra Kurla Complex Sector-64,True
LOC_ALIAS_0065,LOC_0065,Colloquial spot near Andheri East MIDC,Andheri East MIDC Sector-65,True
LOC_ALIAS_0066,LOC_0066,Colloquial spot near Kurla West Terminus,Kurla West Terminus Sector-66,True
LOC_ALIAS_0067,LOC_0067,Colloquial spot near Juhu Tara Road,Juhu Tara Road Sector-67,True
LOC_ALIAS_0068,LOC_0068,Colloquial spot near Dadar TT Circle,Dadar TT Circle Sector-68,True
LOC_ALIAS_0069,LOC_0069,Colloquial spot near Worli Sea Face,Worli Sea Face Sector-69,True
LOC_ALIAS_0070,LOC_0070,Colloquial spot near Lower Parel Business Park,Lower Parel Business Park Sector-70,True
LOC_ALIAS_0071,LOC_0071,Colloquial spot near Ghatkopar Central Mall,Ghatkopar Central Mall Sector-71,True
LOC_ALIAS_0072,LOC_0072,Colloquial spot near Chembur Colony,Chembur Colony Sector-72,True
LOC_ALIAS_0073,LOC_0073,Colloquial spot near Malad Link Road,Malad Link Road Sector-73,True
LOC_ALIAS_0074,LOC_0074,Colloquial spot near Borivali West Station Area,Borivali West Station Area Sector-74,True
LOC_ALIAS_0075,LOC_0075,Colloquial spot near Byculla Market,Byculla Market Sector-75,True
LOC_ALIAS_0076,LOC_0076,Colloquial spot near Sewri Timber Market,Sewri Timber Market Sector-76,True
LOC_ALIAS_0077,LOC_0077,Colloquial spot near Thane Station West,Thane Station West Sector-77,True
LOC_ALIAS_0078,LOC_0078,Colloquial spot near Navi Mumbai Vashi Sector 17,Navi Mumbai Vashi Sector 17 Sector-78,True
LOC_ALIAS_0079,LOC_0079,Colloquial spot near Sion Circle,Sion Circle Sector-79,True
LOC_ALIAS_0080,LOC_0080,Colloquial spot near Tardeo Road,Tardeo Road Sector-80,True
LOC_ALIAS_0081,LOC_0081,Colloquial spot near Dharavi Commercial Complex,Dharavi Commercial Complex Sector-81,True
LOC_ALIAS_0082,LOC_0082,Colloquial spot near Colaba Causeway,Colaba Causeway Sector-82,True
LOC_ALIAS_0083,LOC_0083,Colloquial spot near Crawford Market,Crawford Market Sector-83,True
LOC_ALIAS_0084,LOC_0084,Colloquial spot near Bandra Kurla Complex,Bandra Kurla Complex Sector-84,True
LOC_ALIAS_0085,LOC_0085,Colloquial spot near Andheri East MIDC,Andheri East MIDC Sector-85,True
LOC_ALIAS_0086,LOC_0086,Colloquial spot near Kurla West Terminus,Kurla West Terminus Sector-86,True
LOC_ALIAS_0087,LOC_0087,Colloquial spot near Juhu Tara Road,Juhu Tara Road Sector-87,True
LOC_ALIAS_0088,LOC_0088,Colloquial spot near Dadar TT Circle,Dadar TT Circle Sector-88,True
LOC_ALIAS_0089,LOC_0089,Colloquial spot near Worli Sea Face,Worli Sea Face Sector-89,True
LOC_ALIAS_0090,LOC_0090,Colloquial spot near Lower Parel Business Park,Lower Parel Business Park Sector-90,True
LOC_ALIAS_0091,LOC_0091,Colloquial spot near Ghatkopar Central Mall,Ghatkopar Central Mall Sector-91,True
LOC_ALIAS_0092,LOC_0092,Colloquial spot near Chembur Colony,Chembur Colony Sector-92,True
LOC_ALIAS_0093,LOC_0093,Colloquial spot near Malad Link Road,Malad Link Road Sector-93,True
LOC_ALIAS_0094,LOC_0094,Colloquial spot near Borivali West Station Area,Borivali West Station Area Sector-94,True
LOC_ALIAS_0095,LOC_0095,Colloquial spot near Byculla Market,Byculla Market Sector-95,True
LOC_ALIAS_0096,LOC_0096,Colloquial spot near Sewri Timber Market,Sewri Timber Market Sector-96,True
LOC_ALIAS_0097,LOC_0097,Colloquial spot near Thane Station West,Thane Station West Sector-97,True
LOC_ALIAS_0098,LOC_0098,Colloquial spot near Navi Mumbai Vashi Sector 17,Navi Mumbai Vashi Sector 17 Sector-98,True
LOC_ALIAS_0099,LOC_0099,Colloquial spot near Sion Circle,Sion Circle Sector-99,True
LOC_ALIAS_0100,LOC_0100,Colloquial spot near Tardeo Road,Tardeo Road Sector-100,True
LOC_ALIAS_0101,LOC_0101,Colloquial spot near Dharavi Commercial Complex,Dharavi Commercial Complex Sector-101,True
LOC_ALIAS_0102,LOC_0102,Colloquial spot near Colaba Causeway,Colaba Causeway Sector-102,True
LOC_ALIAS_0103,LOC_0103,Colloquial spot near Crawford Market,Crawford Market Sector-103,True
LOC_ALIAS_0104,LOC_0104,Colloquial spot near Bandra Kurla Complex,Bandra Kurla Complex Sector-104,True
LOC_ALIAS_0105,LOC_0105,Colloquial spot near Andheri East MIDC,Andheri East MIDC Sector-105,True
LOC_ALIAS_0106,LOC_0106,Colloquial spot near Kurla West Terminus,Kurla West Terminus Sector-106,True
LOC_ALIAS_0107,LOC_0107,Colloquial spot near Juhu Tara Road,Juhu Tara Road Sector-107,True
LOC_ALIAS_0108,LOC_0108,Colloquial spot near Dadar TT Circle,Dadar TT Circle Sector-108,True
LOC_ALIAS_0109,LOC_0109,Colloquial spot near Worli Sea Face,Worli Sea Face Sector-109,True
LOC_ALIAS_0110,LOC_0110,Colloquial spot near Lower Parel Business Park,Lower Parel Business Park Sector-110,True
LOC_ALIAS_0111,LOC_0111,Colloquial spot near Ghatkopar Central Mall,Ghatkopar Central Mall Sector-111,True
LOC_ALIAS_0112,LOC_0112,Colloquial spot near Chembur Colony,Chembur Colony Sector-112,True
