visit_id,entity_id,entity_type,location_id,event_time,source_id,confidence,synthetic_demo_record
VISIT_000001,P_00913,Person,LOC_0164,2025-02-05T16:22:52,SURVEILLANCE_OR_LBS_LOG,0.91,True
VISIT_000002,P_01829,Person,LOC_0063,2025-04-22T13:22:27,SURVEILLANCE_OR_LBS_LOG,0.91,True
VISIT_000003,P_04064,Person,LOC_0174,2025-04-05T13:50:07,SURVEILLANCE_OR_LBS_LOG,0.89,True
VISIT_000004,P_00245,Person,LOC_0009,2025-04-07T22:33:55,SURVEILLANCE_OR_LBS_LOG,0.83,True
VISIT_000005,P_04932,Person,LOC_0130,2025-02-08T10:32:10,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000006,P_04061,Person,LOC_0184,2026-04-10T13:54:12,SURVEILLANCE_OR_LBS_LOG,0.83,True
VISIT_000007,P_02327,Person,LOC_0151,2027-06-18T01:20:09,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000008,P_01308,Person,LOC_0195,2027-02-07T15:39:30,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000009,P_01274,Person,LOC_0072,2025-07-05T05:38:28,SURVEILLANCE_OR_LBS_LOG,0.94,True
VISIT_000010,P_00838,Person,LOC_0087,2025-04-07T11:29:19,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000011,P_02818,Person,LOC_0092,2026-10-15T03:53:41,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000012,P_03764,Person,LOC_0012,2026-08-02T06:31:48,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000013,P_03101,Person,LOC_0237,2025-04-02T08:54:52,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000014,P_02963,Person,LOC_0213,2026-09-13T13:53:39,SURVEILLANCE_OR_LBS_LOG,0.83,True
VISIT_000015,P_00376,Person,LOC_0018,2026-12-26T19:05:42,SURVEILLANCE_OR_LBS_LOG,0.83,True
VISIT_000016,P_00654,Person,LOC_0075,2027-08-06T01:19:23,SURVEILLANCE_OR_LBS_LOG,0.83,True
VISIT_000017,P_03114,Person,LOC_0026,2025-10-27T00:36:20,SURVEILLANCE_OR_LBS_LOG,0.87,True
VISIT_000018,P_02989,Person,LOC_0214,2025-05-09T13:48:09,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000019,P_02236,Person,LOC_0054,2027-02-13T23:39:40,SURVEILLANCE_OR_LBS_LOG,0.94,True
VISIT_000020,P_00585,Person,LOC_0166,2026-10-22T04:32:14,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000021,P_02054,Person,LOC_0137,2025-05-09T15:19:54,SURVEILLANCE_OR_LBS_LOG,0.87,True
VISIT_000022,P_04563,Person,LOC_0070,2025-07-08T20:39:24,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000023,P_00459,Person,LOC_0216,2025-07-29T05:12:57,SURVEILLANCE_OR_LBS_LOG,0.92,True
VISIT_000024,P_02585,Person,LOC_0207,2026-03-30T02:01:03,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000025,P_04647,Person,LOC_0055,2027-09-06T15:12:53,SURVEILLANCE_OR_LBS_LOG,0.91,True
VISIT_000026,P_04186,Person,LOC_0055,2026-03-22T09:16:48,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000027,P_03759,Person,LOC_0165,2025-04-22T22:44:11,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000028,P_04599,Person,LOC_0064,2026-08-04T12:11:54,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000029,P_03510,Person,LOC_0150,2027-10-08T12:35:53,SURVEILLANCE_OR_LBS_LOG,0.89,True
VISIT_000030,P_01797,Person,LOC_0093,2025-04-22T08:49:05,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000031,P_00386,Person,LOC_0024,2027-08-13T10:07:14,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000032,P_01311,Person,LOC_0161,2027-05-28T09:02:07,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000033,P_00521,Person,LOC_0153,2026-03-10T21:35:43,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000034,P_04431,Person,LOC_0120,2025-09-27T17:47:24,SURVEILLANCE_OR_LBS_LOG,0.95,True
VISIT_000035,P_00095,Person,LOC_0221,2027-01-13T08:42:49,SURVEILLANCE_OR_LBS_LOG,0.91,True
VISIT_000036,P_04495,Person,LOC_0175,2027-04-08T22:06:09,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000037,P_02787,Person,LOC_0165,2025-04-12T19:52:47,SURVEILLANCE_OR_LBS_LOG,0.84,True
VISIT_000038,P_03717,Person,LOC_0041,2025-01-07T05:26:37,SURVEILLANCE_OR_LBS_LOG,0.94,True
VISIT_000039,P_02206,Person,LOC_0225,2027-12-26T11:38:09,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000040,P_04255,Person,LOC_0046,2027-10-25T05:15:09,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000041,P_02493,Person,LOC_0161,2027-07-20T09:37:51,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000042,P_01630,Person,LOC_0156,2025-04-28T12:39:42,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000043,P_04015,Person,LOC_0042,2027-12-05T10:56:18,SURVEILLANCE_OR_LBS_LOG,0.92,True
VISIT_000044,P_00005,Person,LOC_0136,2026-10-05T13:36:49,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000045,P_00917,Person,LOC_0005,2027-11-12T16:09:48,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000046,P_02520,Person,LOC_0213,2025-09-05T15:19:36,SURVEILLANCE_OR_LBS_LOG,0.81,True
VISIT_000047,P_04648,Person,LOC_0225,2027-11-26T21:03:41,SURVEILLANCE_OR_LBS_LOG,0.81,True
VISIT_000048,P_03982,Person,LOC_0188,2027-06-25T00:49:39,SURVEILLANCE_OR_LBS_LOG,0.81,True
VISIT_000049,P_04460,Person,LOC_0195,2027-04-24T23:30:56,SURVEILLANCE_OR_LBS_LOG,0.82,True
VISIT_000050,P_03894,Person,LOC_0169,2027-11-26T21:03:41,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000051,P_04419,Person,LOC_0068,2027-09-03T23:44:58,SURVEILLANCE_OR_LBS_LOG,0.89,True
VISIT_000052,P_01736,Person,LOC_0247,2027-11-12T16:09:48,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000053,P_01648,Person,LOC_0187,2027-02-23T17:48:14,SURVEILLANCE_OR_LBS_LOG,0.85,True
VISIT_000054,P_03060,Person,LOC_0172,2026-04-24T12:50:10,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000055,P_00992,Person,LOC_0116,2025-09-22T22:01:34,SURVEILLANCE_OR_LBS_LOG,0.83,True
VISIT_000056,P_00173,Person,LOC_0087,2026-09-23T02:31:56,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000057,P_01805,Person,LOC_0151,2025-01-14T17:50:51,SURVEILLANCE_OR_LBS_LOG,0.81,True
VISIT_000058,P_00483,Person,LOC_0162,2025-07-29T05:12:57,SURVEILLANCE_OR_LBS_LOG,0.81,True
VISIT_000059,P_02707,Person,LOC_0009,2025-03-31T22:51:46,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000060,P_03977,Person,LOC_0072,2025-07-04T12:44:50,SURVEILLANCE_OR_LBS_LOG,0.88,True
VISIT_000061,P_04678,Person,LOC_0186,2026-09-12T18:28:17,SURVEILLANCE_OR_LBS_LOG,0.87,True
VISIT_000062,P_03875,Person,LOC_0201,2027-06-16T10:37:34,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000063,P_00795,Person,LOC_0025,2026-12-24T19:40:04,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000064,P_03368,Person,LOC_0109,2026-05-21T16:06:03,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000065,P_00807,Person,LOC_0014,2025-03-21T12:25:25,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000066,P_00896,Person,LOC_0087,2025-09-23T15:52:34,SURVEILLANCE_OR_LBS_LOG,0.83,True
VISIT_000067,P_03676,Person,LOC_0138,2025-04-22T15:22:13,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000068,P_03790,Person,LOC_0072,2025-09-26T03:56:08,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000069,P_03631,Person,LOC_0020,2027-06-17T05:34:16,SURVEILLANCE_OR_LBS_LOG,0.93,True
VISIT_000070,P_00803,Person,LOC_0141,2025-03-08T09:37:55,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000071,P_00121,Person,LOC_0139,2027-12-20T02:39:05,SURVEILLANCE_OR_LBS_LOG,0.81,True
VISIT_000072,P_01937,Person,LOC_0193,2025-05-12T07:37:40,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000073,P_01752,Person,LOC_0124,2027-08-21T03:36:18,SURVEILLANCE_OR_LBS_LOG,0.86,True
VISIT_000074,P_01349,Person,LOC_0016,2026-03-04T11:22:46,SURVEILLANCE_OR_LBS_LOG,0.8,True
VISIT_000075,P_02221,Person,LOC_0100,2027-11-10T23:02:35,SURVEILLANCE_OR_LBS_LOG,0.92,True
VISIT_000076,P_02385,Person,LOC_0117,2026-04-15T11:04:17,SURVEILLANCE_OR_LBS_LOG,0.9,True
VISIT_000077,P_04553,Person,LOC_0188,2026-12-26T19:05:42,SURVEILLANCE_OR_LBS_LOG,0.91,True
VISIT_000078,P_01556,Person,LOC_0040,2025-11-20T15:30:51,SURVEILLANCE_OR_LBS_LOG,0.83,True
