person_case_role_id,person_id,case_id,role_type,source_evidence_id,synthetic_demo_record
PCR_000001,P_04187,1,Primary Accused,EVI_FIR_0001,True
PCR_000002,P_00982,2,Primary Accused,EVI_FIR_0002,True
PCR_000003,P_04495,3,Primary Accused,EVI_FIR_0003,True
PCR_000004,P_04800,4,Primary Accused,EVI_FIR_0004,True
PCR_000005,P_04798,5,Primary Accused,EVI_FIR_0005,True
PCR_000006,P_02808,6,Primary Accused,EVI_FIR_0006,True
PCR_000007,P_02972,7,Primary Accused,EVI_FIR_0007,True
PCR_000008,P_03606,8,Primary Accused,EVI_FIR_0008,True
PCR_000009,P_00896,9,Primary Accused,EVI_FIR_0009,True
PCR_000010,P_01760,10,Primary Accused,EVI_FIR_0010,True
PCR_000011,P_03055,11,Primary Accused,EVI_FIR_0011,True
PCR_000012,P_01532,12,Primary Accused,EVI_FIR_0012,True
PCR_000013,P_02768,13,Primary Accused,EVI_FIR_0013,True
PCR_000014,P_02117,14,Primary Accused,EVI_FIR_0014,True
PCR_000015,P_01079,15,Primary Accused,EVI_FIR_0015,True
PCR_000016,P_01338,16,Primary Accused,EVI_FIR_0016,True
PCR_000017,P_04163,17,Primary Accused,EVI_FIR_0017,True
PCR_000018,P_03405,18,Primary Accused,EVI_FIR_0018,True
PCR_000019,P_01842,19,Primary Accused,EVI_FIR_0019,True
PCR_000020,P_00855,20,Primary Accused,EVI_FIR_0020,True
PCR_000021,P_03616,21,Primary Accused,EVI_FIR_0021,True
PCR_000022,P_00265,22,Primary Accused,EVI_FIR_0022,True
PCR_000023,P_01720,23,Primary Accused,EVI_FIR_0023,True
PCR_000024,P_00437,24,Primary Accused,EVI_FIR_0024,True
PCR_000025,P_00824,25,Primary Accused,EVI_FIR_0025,True
PCR_000026,P_01452,26,Primary Accused,EVI_FIR_0026,True
PCR_000027,P_03873,27,Primary Accused,EVI_FIR_0027,True
PCR_000028,P_02328,28,Primary Accused,EVI_FIR_0028,True
PCR_000029,P_02935,29,Primary Accused,EVI_FIR_0029,True
PCR_000030,P_02258,30,Primary Accused,EVI_FIR_0030,True
PCR_000031,P_00086,31,Primary Accused,EVI_FIR_0031,True
PCR_000032,P_01260,32,Primary Accused,EVI_FIR_0032,True
PCR_000033,P_01275,33,Primary Accused,EVI_FIR_0033,True
PCR_000034,P_01919,34,Primary Accused,EVI_FIR_0034,True
PCR_000035,P_00533,35,Primary Accused,EVI_FIR_0035,True
PCR_000036,P_01108,36,Primary Accused,EVI_FIR_0036,True
PCR_000037,P_03960,37,Primary Accused,EVI_FIR_0037,True
PCR_000038,P_02990,38,Primary Accused,EVI_FIR_0038,True
PCR_000039,P_00824,39,Primary Accused,EVI_FIR_0039,True
PCR_000040,P_02084,40,Primary Accused,EVI_FIR_0040,True
PCR_000041,P_00287,41,Primary Accused,EVI_FIR_0041,True
PCR_000042,P_03735,42,Primary Accused,EVI_FIR_0042,True
PCR_000043,P_01275,43,Primary Accused,EVI_FIR_0043,True
PCR_000044,P_00137,44,Primary Accused,EVI_FIR_0044,True
PCR_000045,P_04476,45,Primary Accused,EVI_FIR_0045,True
PCR_000046,P_02322,46,Primary Accused,EVI_FIR_0046,True
PCR_000047,P_04491,47,Primary Accused,EVI_FIR_0047,True
PCR_000048,P_00656,48,Primary Accused,EVI_FIR_0048,True
PCR_000049,P_01125,49,Primary Accused,EVI_FIR_0049,True
PCR_000050,P_02402,50,Primary Accused,EVI_FIR_0050,True
PCR_000051,P_02653,51,Primary Accused,EVI_FIR_0051,True
PCR_000052,P_04155,52,Primary Accused,EVI_FIR_0052,True
PCR_000053,P_00860,53,Primary Accused,EVI_FIR_0053,True
PCR_000054,P_03133,54,Primary Accused,EVI_FIR_0054,True
PCR_000055,P_03250,55,Primary Accused,EVI_FIR_0055,True
PCR_000056,P_03055,56,Primary Accused,EVI_FIR_0056,True
PCR_000057,P_03285,57,Primary Accused,EVI_FIR_0057,True
PCR_000058,P_02728,58,Primary Accused,EVI_FIR_0058,True
PCR_000059,P_01721,59,Primary Accused,EVI_FIR_0059,True
PCR_000060,P_01435,60,Primary Accused,EVI_FIR_0060,True
PCR_000061,P_00009,61,Primary Accused,EVI_FIR_0061,True
PCR_000062,P_01213,62,Primary Accused,EVI_FIR_0062,True
PCR_000063,P_03956,63,Primary Accused,EVI_FIR_0063,True
PCR_000064,P_03564,64,Primary Accused,EVI_FIR_0064,True
PCR_000065,P_02533,65,Primary Accused,EVI_FIR_0065,True
PCR_000066,P_01274,66,Primary Accused,EVI_FIR_0066,True
PCR_000067,P_03995,67,Primary Accused,EVI_FIR_0067,True
PCR_000068,P_04943,68,Primary Accused,EVI_FIR_0068,True
PCR_000069,P_02915,69,Primary Accused,EVI_FIR_0069,True
PCR_000070,P_04517,70,Primary Accused,EVI_FIR_0070,True
PCR_000071,P_01821,71,Primary Accused,EVI_FIR_0071,True
PCR_000072,P_04507,72,Primary Accused,EVI_FIR_0072,True
PCR_000073,P_00555,73,Primary Accused,EVI_FIR_0073,True
PCR_000074,P_03362,74,Primary Accused,EVI_FIR_0074,True
PCR_000075,P_04841,75,Primary Accused,EVI_FIR_0075,True
PCR_000076,P_02194,76,Primary Accused,EVI_FIR_0076,True
PCR_000077,P_03452,77,Primary Accused,EVI_FIR_0077,True
PCR_000078,P_02613,78,Primary Accused,EVI_FIR_0078,True
PCR_000079,P_04785,79,Primary Accused,EVI_FIR_0079,True
PCR_000080,P_04717,80,Primary Accused,EVI_FIR_0080,True
PCR_000081,P_00171,81,Primary Accused,EVI_FIR_0081,True
PCR_000082,P_04691,82,Primary Accused,EVI_FIR_0082,True
PCR_000083,P_01046,83,Primary Accused,EVI_FIR_0083,True
PCR_000084,P_02734,84,Primary Accused,EVI_FIR_0084,True
PCR_000085,P_02118,85,Primary Accused,EVI_FIR_0085,True
