source_identity_id,person_id,source_system,source_person_id,match_confidence,match_method,synthetic_demo_record
PSI_00001,P_00001,MUMBAI_POLICE_CCTNS,SRC_P_00001,1.0,CANONICAL_ID,True
PSI_00002,P_00002,MUMBAI_POLICE_CCTNS,SRC_P_00002,1.0,CANONICAL_ID,True
PSI_00003,P_00003,MUMBAI_POLICE_CCTNS,SRC_P_00003,1.0,CANONICAL_ID,True
PSI_00004,P_00004,MUMBAI_POLICE_CCTNS,SRC_P_00004,1.0,CANONICAL_ID,True
PSI_00005,P_00005,MUMBAI_POLICE_CCTNS,SRC_P_00005,1.0,CANONICAL_ID,True
PSI_00006,P_00006,MUMBAI_POLICE_CCTNS,SRC_P_00006,1.0,CANONICAL_ID,True
PSI_00007,P_00007,MUMBAI_POLICE_CCTNS,SRC_P_00007,1.0,CANONICAL_ID,True
PSI_00008,P_00008,MUMBAI_POLICE_CCTNS,SRC_P_00008,1.0,CANONICAL_ID,True
PSI_00009,P_00009,MUMBAI_POLICE_CCTNS,SRC_P_00009,1.0,CANONICAL_ID,True
PSI_00010,P_00010,MUMBAI_POLICE_CCTNS,SRC_P_00010,1.0,CANONICAL_ID,True
PSI_00011,P_00011,MUMBAI_POLICE_CCTNS,SRC_P_00011,1.0,CANONICAL_ID,True
PSI_00012,P_00012,MUMBAI_POLICE_CCTNS,SRC_P_00012,1.0,CANONICAL_ID,True
PSI_00013,P_00013,MUMBAI_POLICE_CCTNS,SRC_P_00013,1.0,CANONICAL_ID,True
PSI_00014,P_00014,MUMBAI_POLICE_CCTNS,SRC_P_00014,1.0,CANONICAL_ID,True
PSI_00015,P_00015,MUMBAI_POLICE_CCTNS,SRC_P_00015,1.0,CANONICAL_ID,True
PSI_00016,P_00016,MUMBAI_POLICE_CCTNS,SRC_P_00016,1.0,CANONICAL_ID,True
PSI_00017,P_00017,MUMBAI_POLICE_CCTNS,SRC_P_00017,1.0,CANONICAL_ID,True
PSI_00018,P_00018,MUMBAI_POLICE_CCTNS,SRC_P_00018,1.0,CANONICAL_ID,True
PSI_00019,P_00019,MUMBAI_POLICE_CCTNS,SRC_P_00019,1.0,CANONICAL_ID,True
PSI_00020,P_00020,MUMBAI_POLICE_CCTNS,SRC_P_00020,1.0,CANONICAL_ID,True
PSI_00021,P_00021,MUMBAI_POLICE_CCTNS,SRC_P_00021,1.0,CANONICAL_ID,True
