link_id,person_id,vehicle_id,relation_type,valid_from,valid_to,confidence,evidence_id,synthetic_demo_record
PVL_0001,P_01937,VEH_0001,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0001,True
PVL_0002,P_03783,VEH_0002,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0002,True
PVL_0003,P_00321,VEH_0003,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0003,True
PVL_0004,P_02299,VEH_0004,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0004,True
PVL_0005,P_00386,VEH_0005,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0005,True
PVL_0006,P_00842,VEH_0006,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0006,True
PVL_0007,P_03570,VEH_0007,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0007,True
PVL_0008,P_00041,VEH_0008,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0008,True
PVL_0009,P_00615,VEH_0009,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0009,True
PVL_0010,P_01396,VEH_0010,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0010,True
PVL_0011,P_03661,VEH_0011,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0011,True
PVL_0012,P_02638,VEH_0012,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0012,True
PVL_0013,P_04576,VEH_0013,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0013,True
PVL_0014,P_01741,VEH_0014,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0014,True
PVL_0015,P_02789,VEH_0015,Registered_Owner,2024-01-01,2026-12-31,0.98,EVI_VEH_REG_0015,True
