phone_id,normalized_hash,owner_person_id,carrier,first_seen,last_seen,status,synthetic_demo_record
PHN_00001,edf024782282ee21,P_01039,BSNL,2024-01-01,2025-12-31,active,True
PHN_00002,63450968919651fb,P_00190,Jio,2024-01-01,2025-12-31,active,True
PHN_00003,844370cbdabecdec,P_02734,BSNL,2024-01-01,2025-12-31,active,True
PHN_00004,82ea36a3583d6545,P_04024,Jio,2024-01-01,2025-12-31,active,True
PHN_00005,f6cb334156c9d7a0,P_01925,BSNL,2024-01-01,2025-12-31,active,True
PHN_00006,33b7df457ab09524,P_01641,Vi,2024-01-01,2025-12-31,active,True
PHN_00007,a2bf34363a8b0b42,P_01369,BSNL,2024-01-01,2025-12-31,active,True
PHN_00008,b43b80fd0e470196,P_02771,Airtel,2024-01-01,2025-12-31,active,True
PHN_00009,e42bb9c062a8932d,P_02261,Vi,2024-01-01,2025-12-31,active,True
PHN_00010,bbea93aa98ff91dd,P_02113,Airtel,2024-01-01,2025-12-31,active,True
PHN_00011,ac37dc83afb577d6,P_00912,Airtel,2024-01-01,2025-12-31,active,True
PHN_00012,f00e113d455aa195,P_03683,Jio,2024-01-01,2025-12-31,active,True
PHN_00013,c851d6f38cd43385,P_02883,BSNL,2024-01-01,2025-12-31,active,True
PHN_00014,f3f36d52221f9ff3,P_03347,Airtel,2024-01-01,2025-12-31,active,True
PHN_00015,b6132cb40cce85a5,P_00263,Vi,2024-01-01,2025-12-31,active,True
PHN_00016,8d9df6aace425b37,P_00115,Vi,2024-01-01,2025-12-31,active,True
PHN_00017,8975b1c5e5150b3c,P_03285,Jio,2024-01-01,2025-12-31,active,True
PHN_00018,2c718a1f9f887f0f,P_00942,BSNL,2024-01-01,2025-12-31,active,True
PHN_00019,362876445387b241,P_03679,BSNL,2024-01-01,2025-12-31,active,True
PHN_00020,534033be4bc587b8,P_03164,Jio,2024-01-01,2025-12-31,active,True
PHN_00021,5bca16c88e03ced0,P_04915,BSNL,2024-01-01,2025-12-31,active,True
PHN_00022,cd35b3b2d38b2015,P_04283,Vi,2024-01-01,2025-12-31,active,True
PHN_00023,cec1481db6b05f47,P_03502,Airtel,2024-01-01,2025-12-31,active,True
PHN_00024,42ba03d6029e27b4,P_02590,Vi,2024-01-01,2025-12-31,active,True
PHN_00025,52b447e9efdc765a,P_01227,Vi,2024-01-01,2025-12-31,active,True
PHN_00026,a0f1d549a7b6fc9e,P_04606,BSNL,2024-01-01,2025-12-31,active,True
PHN_00027,3ff9c409ee8ab73c,P_03723,Airtel,2024-01-01,2025-12-31,active,True
PHN_00028,9e3e619216e7b13b,P_04691,Jio,2024-01-01,2025-12-31,active,True
PHN_00029,487721726d9ccd50,P_03795,Airtel,2024-01-01,2025-12-31,active,True
PHN_00030,9ebd89c99244742b,P_03441,Vi,2024-01-01,2025-12-31,active,True
PHN_00031,08577de352529d23,P_00358,Jio,2024-01-01,2025-12-31,active,True
PHN_00032,f77f5ea099b2b2cd,P_00811,Vi,2024-01-01,2025-12-31,active,True
PHN_00033,9ff4267a8ac48cc5,P_00854,Airtel,2024-01-01,2025-12-31,active,True
PHN_00034,22335c1362eea33b,P_03591,BSNL,2024-01-01,2025-12-31,active,True
PHN_00035,696739f78ec80bce,P_04500,Airtel,2024-01-01,2025-12-31,active,True
PHN_00036,94153ea86023e835,P_01939,Airtel,2024-01-01,2025-12-31,active,True
PHN_00037,e81e9bc00e4c6e49,P_01663,BSNL,2024-01-01,2025-12-31,active,True
PHN_00038,d5a1992f18ce53a5,P_01130,Vi,2024-01-01,2025-12-31,active,True
PHN_00039,a89bc3f9c0b1764b,P_02120,BSNL,2024-01-01,2025-12-31,active,True
PHN_00040,9342a98693583c8f,P_01530,BSNL,2024-01-01,2025-12-31,active,True
PHN_00041,e6d3d86497bf46d7,P_03529,Jio,2024-01-01,2025-12-31,active,True
PHN_00042,b511c4c2792731e2,P_01857,BSNL,2024-01-01,2025-12-31,active,True
PHN_00043,5b476de2e0bff0ae,P_03056,Vi,2024-01-01,2025-12-31,active,True
PHN_00044,06ef3501d3d9696b,P_04544,Vi,2024-01-01,2025-12-31,active,True
PHN_00045,ebd3a2875b0c3b11,P_01645,Jio,2024-01-01,2025-12-31,active,True
PHN_00046,7bf006b357bfb78b,P_02502,Airtel,2024-01-01,2025-12-31,active,True
PHN_00047,35adede4d7d30824,P_03363,BSNL,2024-01-01,2025-12-31,active,True
PHN_00048,0aa1a1b109e9dd0b,P_01900,Vi,2024-01-01,2025-12-31,active,True
PHN_00049,378ec9ac1f4d3ea8,P_00034,BSNL,2024-01-01,2025-12-31,active,True
PHN_00050,91deb36ac23ea12c,P_00258,Jio,2024-01-01,2025-12-31,active,True
PHN_00051,4e5409ec1cd05b4c,P_01218,BSNL,2024-01-01,2025-12-31,active,True
PHN_00052,5403f06168e69bb7,P_02386,Jio,2024-01-01,2025-12-31,active,True
PHN_00053,f0ffffc93ac88ad5,P_04797,Jio,2024-01-01,2025-12-31,active,True
PHN_00054,ceb3747f00ec76ac,P_02381,Jio,2024-01-01,2025-12-31,active,True
PHN_00055,ef7f98b57861a7c9,P_04642,Jio,2024-01-01,2025-12-31,active,True
PHN_00056,29a2c5c22093dee9,P_00385,Jio,2024-01-01,2025-12-31,active,True
PHN_00057,7ca83a2ae486ebe8,P_03521,Vi,2024-01-01,2025-12-31,active,True
PHN_00058,d9ddb55ebf732650,P_04857,Vi,2024-01-01,2025-12-31,active,True
PHN_00059,bd4623da5291b840,P_02784,Airtel,2024-01-01,2025-12-31,active,True
PHN_00060,55870d70b97845e5,P_00318,Jio,2024-01-01,2025-12-31,active,True
PHN_00061,c9c90af8f39ebb54,P_03888,Vi,2024-01-01,2025-12-31,active,True
PHN_00062,7b22a8f6cbd6303c,P_03278,BSNL,2024-01-01,2025-12-31,active,True
PHN_00063,c2901c3e7ecf6b67,P_02491,Airtel,2024-01-01,2025-12-31,active,True
PHN_00064,f897ecc06c9a3068,P_00035,Vi,2024-01-01,2025-12-31,active,True
PHN_00065,67da17a9129a9167,P_01482,Vi,2024-01-01,2025-12-31,active,True
PHN_00066,bd4dd02c8d8140f7,P_04505,BSNL,2024-01-01,2025-12-31,active,True
PHN_00067,124aba6983200930,P_01618,BSNL,2024-01-01,2025-12-31,active,True
PHN_00068,3ea09b910b7fd3c6,P_01625,Jio,2024-01-01,2025-12-31,active,True
PHN_00069,d4af07e75cfb8a3b,P_03373,Vi,2024-01-01,2025-12-31,active,True
PHN_00070,636a322eb512126b,P_03276,Jio,2024-01-01,2025-12-31,active,True
PHN_00071,ca070c4d392c1b7d,P_00376,Jio,2024-01-01,2025-12-31,active,True
PHN_00072,6c27ca426a598046,P_04456,BSNL,2024-01-01,2025-12-31,active,True
PHN_00073,f5eacc7bcbf6a59d,P_00539,BSNL,2024-01-01,2025-12-31,active,True
PHN_00074,1707dc2256279c13,P_00764,Vi,2024-01-01,2025-12-31,active,True
PHN_00075,db8561db3eddfaaa,P_00008,Airtel,2024-01-01,2025-12-31,active,True
PHN_00076,4adbda6f6f2e159a,P_02930,Jio,2024-01-01,2025-12-31,active,True
PHN_00077,c701256fee5d9e4b,P_03336,Airtel,2024-01-01,2025-12-31,active,True
PHN_00078,2d5bce1d5e464bc5,P_01210,BSNL,2024-01-01,2025-12-31,active,True
PHN_00079,9846f4b32cb27e30,P_02156,Vi,2024-01-01,2025-12-31,active,True
PHN_00080,34bdca41833dab3a,P_04713,Vi,2024-01-01,2025-12-31,active,True
PHN_00081,37a28df916e1fde3,P_03391,Airtel,2024-01-01,2025-12-31,active,True
PHN_00082,3a70e01d13c29aa8,P_03532,Jio,2024-01-01,2025-12-31,active,True
PHN_00083,2572cce5fe8793b0,P_02621,Vi,2024-01-01,2025-12-31,active,True
PHN_00084,810be62492f520e0,P_04185,Vi,2024-01-01,2025-12-31,active,True
PHN_00085,eb3dcbf75f7bab5e,P_00652,BSNL,2024-01-01,2025-12-31,active,True
PHN_00086,cd36aefdf533ac00,P_00122,Vi,2024-01-01,2025-12-31,active,True
PHN_00087,4d857f15f7cb95e2,P_04695,Airtel,2024-01-01,2025-12-31,active,True
PHN_00088,7a9133d70ee7d37a,P_04501,BSNL,2024-01-01,2025-12-31,active,True
PHN_00089,1cd31ae812854c1a,P_02813,BSNL,2024-01-01,2025-12-31,active,True
PHN_00090,4122220e1516250f,P_02593,Airtel,2024-01-01,2025-12-31,active,True
PHN_00091,05be40bfc9288c56,P_00487,Jio,2024-01-01,2025-12-31,active,True
PHN_00092,e18433ccf9c9216f,P_02821,Airtel,2024-01-01,2025-12-31,active,True
PHN_00093,d414784b1f41606e,P_04433,Airtel,2024-01-01,2025-12-31,active,True
PHN_00094,c019db047c6aad3a,P_00408,BSNL,2024-01-01,2025-12-31,active,True
PHN_00095,990bc1e50aee3c93,P_02291,Jio,2024-01-01,2025-12-31,active,True
PHN_00096,89b99dbce6c3b2ad,P_02065,Airtel,2024-01-01,2025-12-31,active,True
PHN_00097,7aa1546e3db40a03,P_04941,BSNL,2024-01-01,2025-12-31,active,True
PHN_00098,9afe578b8dce64ac,P_02336,Vi,2024-01-01,2025-12-31,active,True
PHN_00099,df070f976f41ef0e,P_01862,Airtel,2024-01-01,2025-12-31,active,True
PHN_00100,5c7806e461d7962e,P_04860,Vi,2024-01-01,2025-12-31,active,True
PHN_00101,d13fa0ab5946f720,P_03741,BSNL,2024-01-01,2025-12-31,active,True
PHN_00102,0a0fdbb55740790c,P_04183,Vi,2024-01-01,2025-12-31,active,True
PHN_00103,67f29d05bba63c19,P_00441,BSNL,2024-01-01,2025-12-31,active,True
PHN_00104,141fc9a252f04715,P_03723,Vi,2024-01-01,2025-12-31,active,True
PHN_00105,c8b5c0d8ee0d4ecc,P_03223,BSNL,2024-01-01,2025-12-31,active,True
PHN_00106,068f3cb6fc99cc2c,P_01232,Airtel,2024-01-01,2025-12-31,active,True
PHN_00107,5d4b651d7cc79bc2,P_02472,Jio,2024-01-01,2025-12-31,active,True
PHN_00108,ebf54e33d52cf824,P_03360,Jio,2024-01-01,2025-12-31,active,True
PHN_00109,197c9ad81f6b3bf1,P_00179,BSNL,2024-01-01,2025-12-31,active,True
PHN_00110,e3237adea24fec75,P_04580,Vi,2024-01-01,2025-12-31,active,True
PHN_00111,7b5042a0dfee5615,P_01424,Airtel,2024-01-01,2025-12-31,active,True
PHN_00112,e7fa9087ff4bcd6e,P_04743,Airtel,2024-01-01,2025-12-31,active,True
PHN_00113,ed709fb0a1b79cc0,P_00541,Vi,2024-01-01,2025-12-31,active,True
PHN_00114,4245ca8f00563930,P_01075,Airtel,2024-01-01,2025-12-31,active,True
PHN_00115,e426b23635a11692,P_04215,BSNL,2024-01-01,2025-12-31,active,True
PHN_00116,31ad29e425aef604,P_02913,Vi,2024-01-01,2025-12-31,active,True
PHN_00117,4cc3bbb1d9b2b547,P_04952,Jio,2024-01-01,2025-12-31,active,True
PHN_00118,1564bd671706c71d,P_01475,Jio,2024-01-01,2025-12-31,active,True
PHN_00119,b6011bc94ebb5bf2,P_00015,Vi,2024-01-01,2025-12-31,active,True
PHN_00120,5e7dc2c51c499f23,P_03847,Jio,2024-01-01,2025-12-31,active,True
PHN_00121,4db09403bfcd3dcb,P_02963,Vi,2024-01-01,2025-12-31,active,True
PHN_00122,61e6f3c051e78b92,P_01873,Vi,2024-01-01,2025-12-31,active,True
PHN_00123,97eb34f4143914eb,P_03104,Jio,2024-01-01,2025-12-31,active,True
PHN_00124,562df0f6d442be63,P_01208,Vi,2024-01-01,2025-12-31,active,True
PHN_00125,79aefaa4b43511e3,P_01676,Vi,2024-01-01,2025-12-31,active,True
PHN_00126,59b44f1d169b1b18,P_00458,Jio,2024-01-01,2025-12-31,active,True
PHN_00127,138c834d8e2937c6,P_04308,BSNL,2024-01-01,2025-12-31,active,True
PHN_00128,f7c01d029bd02488,P_01774,Airtel,2024-01-01,2025-12-31,active,True
PHN_00129,c3fbdf345d362fb8,P_04841,Vi,2024-01-01,2025-12-31,active,True
PHN_00130,27cd83afe02ce608,P_01956,BSNL,2024-01-01,2025-12-31,active,True
PHN_00131,b706bcaf3fb5ed9b,P_04019,Vi,2024-01-01,2025-12-31,active,True
PHN_00132,43e85f081feb510e,P_02672,Jio,2024-01-01,2025-12-31,active,True
PHN_00133,23e6c90a8918b92d,P_03872,Jio,2024-01-01,2025-12-31,active,True
PHN_00134,7ac2a63c3309d8a7,P_01279,Airtel,2024-01-01,2025-12-31,active,True
PHN_00135,9ed613f042265e01,P_00601,Jio,2024-01-01,2025-12-31,active,True
PHN_00136,7e3b432f9f42f5a6,P_00585,BSNL,2024-01-01,2025-12-31,active,True
