relationship_id,source_entity_id,source_entity_type,target_entity_id,target_entity_type,relationship_type,valid_from,valid_to,first_seen,last_seen,frequency,confidence,relationship_status,source_evidence_id,created_by,model_name,model_version,synthetic_demo_record
REL_000001,P_00283,Person,P_04190,Person,CALLS,2025-03-01T21:25:10,2025-03-01T21:25:10,2025-03-01T21:25:10,2025-03-01T21:25:10,1,0.95,observed,EVI_CDR_CDR_000001,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000002,P_02858,Person,P_00004,Person,CALLS,2027-08-06T01:19:23,2027-08-06T01:19:23,2027-08-06T01:19:23,2027-08-06T01:19:23,1,0.95,observed,EVI_CDR_CDR_000002,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000003,P_04342,Person,P_01407,Person,CALLS,2026-05-06T14:29:58,2026-05-06T14:29:58,2026-05-06T14:29:58,2026-05-06T14:29:58,1,0.95,observed,EVI_CDR_CDR_000003,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000004,P_03406,Person,P_04631,Person,CALLS,2026-01-30T20:31:45,2026-01-30T20:31:45,2026-01-30T20:31:45,2026-01-30T20:31:45,1,0.95,observed,EVI_CDR_CDR_000004,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000005,P_04698,Person,P_00968,Person,CALLS,2027-11-19T05:14:59,2027-11-19T05:14:59,2027-11-19T05:14:59,2027-11-19T05:14:59,1,0.95,observed,EVI_CDR_CDR_000005,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000006,P_00024,Person,P_04854,Person,CALLS,2026-11-26T02:05:18,2026-11-26T02:05:18,2026-11-26T02:05:18,2026-11-26T02:05:18,1,0.95,observed,EVI_CDR_CDR_000006,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000007,P_04178,Person,P_04702,Person,CALLS,2025-05-09T15:19:54,2025-05-09T15:19:54,2025-05-09T15:19:54,2025-05-09T15:19:54,1,0.95,observed,EVI_CDR_CDR_000007,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000008,P_03169,Person,P_02207,Person,CALLS,2026-12-01T03:52:50,2026-12-01T03:52:50,2026-12-01T03:52:50,2026-12-01T03:52:50,1,0.95,observed,EVI_CDR_CDR_000008,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000009,P_02293,Person,P_02178,Person,CALLS,2025-12-26T18:29:10,2025-12-26T18:29:10,2025-12-26T18:29:10,2025-12-26T18:29:10,1,0.95,observed,EVI_CDR_CDR_000009,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000010,P_00613,Person,P_03512,Person,CALLS,2025-02-12T08:38:53,2025-02-12T08:38:53,2025-02-12T08:38:53,2025-02-12T08:38:53,1,0.95,observed,EVI_CDR_CDR_000010,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000011,P_00786,Person,P_02240,Person,CALLS,2025-03-27T03:06:28,2025-03-27T03:06:28,2025-03-27T03:06:28,2025-03-27T03:06:28,1,0.95,observed,EVI_CDR_CDR_000011,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000012,P_01599,Person,P_00543,Person,CALLS,2025-07-04T01:44:18,2025-07-04T01:44:18,2025-07-04T01:44:18,2025-07-04T01:44:18,1,0.95,observed,EVI_CDR_CDR_000012,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000013,P_04049,Person,P_01089,Person,CALLS,2027-10-28T02:16:03,2027-10-28T02:16:03,2027-10-28T02:16:03,2027-10-28T02:16:03,1,0.95,observed,EVI_CDR_CDR_000013,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
REL_000014,P_00340,Person,P_04839,Person,CALLS,2025-04-22T13:22:27,2025-04-22T13:22:27,2025-04-22T13:22:27,2025-04-22T13:22:27,1,0.95,observed,EVI_CDR_CDR_000014,INGESTION_PIPELINE,RULE_BASED_EXTRACTOR,v1.0,True
