link_id,account_id,person_id,role,confidence,evidence_id,synthetic_demo_record
TPL_000001_S,ACC_02620,P_03540,Sender,0.95,EVI_TXN_000001,True
TPL_000001_R,ACC_00457,P_04722,Receiver,0.95,EVI_TXN_000001,True
TPL_000002_S,ACC_02234,P_02659,Sender,0.95,EVI_TXN_000002,True
TPL_000002_R,ACC_00357,P_02564,Receiver,0.95,EVI_TXN_000002,True
TPL_000003_S,ACC_00109,P_03333,Sender,0.95,EVI_TXN_000003,True
TPL_000003_R,ACC_02299,P_03196,Receiver,0.95,EVI_TXN_000003,True
TPL_000004_S,ACC_01140,P_01563,Sender,0.95,EVI_TXN_000004,True
TPL_000004_R,ACC_00027,P_03388,Receiver,0.95,EVI_TXN_000004,True
TPL_000005_S,ACC_01379,P_04225,Sender,0.95,EVI_TXN_000005,True
TPL_000005_R,ACC_00419,P_01734,Receiver,0.95,EVI_TXN_000005,True
TPL_000006_S,ACC_02989,P_02157,Sender,0.95,EVI_TXN_000006,True
TPL_000006_R,ACC_01882,P_03137,Receiver,0.95,EVI_TXN_000006,True
TPL_000007_S,ACC_02534,P_03952,Sender,0.95,EVI_TXN_000007,True
TPL_000007_R,ACC_01482,P_01145,Receiver,0.95,EVI_TXN_000007,True
TPL_000008_S,ACC_00954,P_04212,Sender,0.95,EVI_TXN_000008,True
TPL_000008_R,ACC_00414,P_02386,Receiver,0.95,EVI_TXN_000008,True
TPL_000009_S,ACC_00859,P_03793,Sender,0.95,EVI_TXN_000009,True
TPL_000009_R,ACC_02746,P_02526,Receiver,0.95,EVI_TXN_000009,True
TPL_000010_S,ACC_02188,P_02841,Sender,0.95,EVI_TXN_000010,True
TPL_000010_R,ACC_02987,P_04568,Receiver,0.95,EVI_TXN_000010,True
TPL_000011_S,ACC_02282,P_02213,Sender,0.95,EVI_TXN_000011,True
TPL_000011_R,ACC_00900,P_01254,Receiver,0.95,EVI_TXN_000011,True
TPL_000012_S,ACC_01644,P_04656,Sender,0.95,EVI_TXN_000012,True
TPL_000012_R,ACC_01097,P_00012,Receiver,0.95,EVI_TXN_000012,True
TPL_000013_S,ACC_02685,P_00225,Sender,0.95,EVI_TXN_000013,True
TPL_000013_R,ACC_02045,P_00426,Receiver,0.95,EVI_TXN_000013,True
TPL_000014_S,ACC_02300,P_00633,Sender,0.95,EVI_TXN_000014,True
TPL_000014_R,ACC_02208,P_04341,Receiver,0.95,EVI_TXN_000014,True
TPL_000015_S,ACC_00567,P_01226,Sender,0.95,EVI_TXN_000015,True
TPL_000015_R,ACC_02088,P_02209,Receiver,0.95,EVI_TXN_000015,True
TPL_000016_S,ACC_02788,P_00464,Sender,0.95,EVI_TXN_000016,True
TPL_000016_R,ACC_01730,P_04207,Receiver,0.95,EVI_TXN_000016,True
TPL_000017_S,ACC_02267,P_02221,Sender,0.95,EVI_TXN_000017,True
TPL_000017_R,ACC_00048,P_00055,Receiver,0.95,EVI_TXN_000017,True
TPL_000018_S,ACC_01394,P_00944,Sender,0.95,EVI_TXN_000018,True
TPL_000018_R,ACC_00457,P_04722,Receiver,0.95,EVI_TXN_000018,True
TPL_000019_S,ACC_02051,P_02455,Sender,0.95,EVI_TXN_000019,True
TPL_000019_R,ACC_00732,P_01812,Receiver,0.95,EVI_TXN_000019,True
TPL_000020_S,ACC_02495,P_02448,Sender,0.95,EVI_TXN_000020,True
TPL_000020_R,ACC_00815,P_02750,Receiver,0.95,EVI_TXN_000020,True
TPL_000021_S,ACC_02454,P_02188,Sender,0.95,EVI_TXN_000021,True
TPL_000021_R,ACC_01328,P_02774,Receiver,0.95,EVI_TXN_000021,True
TPL_000022_S,ACC_00238,P_02735,Sender,0.95,EVI_TXN_000022,True
TPL_000022_R,ACC_00987,P_02062,Receiver,0.95,EVI_TXN_000022,True
TPL_000023_S,ACC_00516,P_02143,Sender,0.95,EVI_TXN_000023,True
TPL_000023_R,ACC_00526,P_01062,Receiver,0.95,EVI_TXN_000023,True
TPL_000024_S,ACC_00868,P_04808,Sender,0.95,EVI_TXN_000024,True
TPL_000024_R,ACC_02209,P_02336,Receiver,0.95,EVI_TXN_000024,True
TPL_000025_S,ACC_01530,P_04640,Sender,0.95,EVI_TXN_000025,True
TPL_000025_R,ACC_01795,P_02143,Receiver,0.95,EVI_TXN_000025,True
TPL_000026_S,ACC_02410,P_00290,Sender,0.95,EVI_TXN_000026,True
TPL_000026_R,ACC_02269,P_04827,Receiver,0.95,EVI_TXN_000026,True
TPL_000027_S,ACC_00277,P_04035,Sender,0.95,EVI_TXN_000027,True
TPL_000027_R,ACC_00129,P_00034,Receiver,0.95,EVI_TXN_000027,True
TPL_000028_S,ACC_02209,P_02336,Sender,0.95,EVI_TXN_000028,True
TPL_000028_R,ACC_00542,P_04015,Receiver,0.95,EVI_TXN_000028,True
TPL_000029_S,ACC_00780,P_04102,Sender,0.95,EVI_TXN_000029,True
TPL_000029_R,ACC_00387,P_01293,Receiver,0.95,EVI_TXN_000029,True
TPL_000030_S,ACC_02759,P_04683,Sender,0.95,EVI_TXN_000030,True
TPL_000030_R,ACC_02677,P_03586,Receiver,0.95,EVI_TXN_000030,True
