vehicle_id,registration_hash,type,make_model,owner_person_id,synthetic_demo_record
VEH_0001,8c5e93e5efd8345f,Four-Wheeler,Royal Enfield Classic 350,P_01937,True
VEH_0002,21a5841804e50130,Commercial Auto,Maruti Suzuki Swift,P_03783,True
VEH_0003,c5a8479ed89a469e,Commercial Auto,Bajaj Pulsar,P_00321,True
VEH_0004,42e32ba6664474d2,Commercial Auto,Honda City,P_02299,True
VEH_0005,83a3daeb1d34ca7b,Cargo Truck,TVS Jupiter,P_00386,True
VEH_0006,de2de536d28ad550,Four-Wheeler,Toyota Innova,P_00842,True
VEH_0007,17311410927fd7c1,Two-Wheeler,Toyota Innova,P_03570,True
VEH_0008,02da1609b8375df8,Four-Wheeler,Bajaj Pulsar,P_00041,True
VEH_0009,24bf776b7ff8cb36,Commercial Auto,Honda City,P_00615,True
VEH_0010,930ce7b7e85c0ac7,Two-Wheeler,Honda City,P_01396,True
VEH_0011,fb597a593ffc4862,Four-Wheeler,Royal Enfield Classic 350,P_03661,True
VEH_0012,70bd9fbfa9f87cfd,Cargo Truck,Honda City,P_02638,True
VEH_0013,4ad0a01d3c231433,Two-Wheeler,Toyota Innova,P_04576,True
VEH_0014,9e5e6381758a9d7c,Four-Wheeler,Maruti Suzuki Swift,P_01741,True
VEH_0015,343d8717eb75703a,Two-Wheeler,Hyundai Creta,P_02789,True
VEH_0016,67666384a120528d,Two-Wheeler,Honda City,P_03720,True
VEH_0017,f4d2d78ad80709e5,Two-Wheeler,Royal Enfield Classic 350,P_03707,True
VEH_0018,9b10c4faaf64064f,Four-Wheeler,Honda City,P_04729,True
VEH_0019,3262ed999b48d454,Cargo Truck,Mahindra Scorpio,P_00136,True
VEH_0020,60513eee64f2af53,Commercial Auto,TVS Jupiter,P_02884,True
VEH_0021,849f7b13d076b173,Cargo Truck,Mahindra Scorpio,P_01234,True
VEH_0022,f9f80d23b55c6fde,Four-Wheeler,Honda City,P_03030,True
VEH_0023,3863292c1fa7b425,Two-Wheeler,Mahindra Scorpio,P_02457,True
VEH_0024,50cd261d6d94a7a8,Cargo Truck,TVS Jupiter,P_04345,True
VEH_0025,e6488505b2727635,Four-Wheeler,Mahindra Scorpio,P_00944,True
VEH_0026,48f7709869d87051,Two-Wheeler,Hyundai Creta,P_02305,True
VEH_0027,8c17264a65ae1be9,Commercial Auto,Hyundai Creta,P_01802,True
VEH_0028,b948605acdd04f89,Commercial Auto,Honda City,P_04885,True
VEH_0029,82a2a7559529d3ea,Two-Wheeler,Honda City,P_01955,True
VEH_0030,fa38a9df6a8dfbc8,Four-Wheeler,TVS Jupiter,P_01162,True
VEH_0031,ed78985d119609f2,Four-Wheeler,Hyundai Creta,P_01399,True
VEH_0032,ec3746db42ecc32e,Cargo Truck,TVS Jupiter,P_02076,True
VEH_0033,04d6cea39ac3d356,Two-Wheeler,Mahindra Scorpio,P_04400,True
VEH_0034,573da4c2db3fc138,Commercial Auto,TVS Jupiter,P_04116,True
VEH_0035,53b6d00f6e4f200f,Commercial Auto,TVS Jupiter,P_00112,True
VEH_0036,e5d789b88c78f702,Commercial Auto,TVS Jupiter,P_00924,True
VEH_0037,768672d6c40c5625,Commercial Auto,Mahindra Scorpio,P_01161,True
VEH_0038,c584107d345b991c,Four-Wheeler,Toyota Innova,P_01691,True
VEH_0039,168d9ba2e1226b21,Cargo Truck,Honda City,P_04060,True
VEH_0040,b0e29647febbcbc2,Cargo Truck,Toyota Innova,P_03204,True
VEH_0041,f777349655c73d6a,Cargo Truck,Toyota Innova,P_01008,True
VEH_0042,a568338895b2e3fb,Four-Wheeler,Honda City,P_00903,True
VEH_0043,d56937cf4efd66ee,Two-Wheeler,Bajaj Pulsar,P_02422,True
VEH_0044,f378d0d626521ee1,Four-Wheeler,Maruti Suzuki Swift,P_03719,True
VEH_0045,9447bc9b4aa5b472,Four-Wheeler,TVS Jupiter,P_02506,True
VEH_0046,ed50c0d4f82b2310,Commercial Auto,Honda City,P_01129,True
VEH_0047,8f75d7e2f9b42403,Commercial Auto,Tata Nexon,P_00705,True
VEH_0048,6b16ae4ba17c73a5,Two-Wheeler,Hyundai Creta,P_02431,True
