sighting_id,vehicle_id,event_time,latitude,longitude,source_id,confidence,synthetic_demo_record
SIGHT_000001,VEH_0457,2025-02-05T16:22:52,19.050558,72.859206,CCTV_DHARAVI_JCT,0.88,True
SIGHT_000002,VEH_0572,2027-03-25T02:03:18,18.9258,72.955522,ANPR_BKC_01,0.94,True
SIGHT_000003,VEH_2234,2025-04-05T13:50:07,19.206624,72.862425,POLICE_CHECKPOINT_BANDRA,0.85,True
SIGHT_000004,VEH_0384,2025-07-08T11:16:02,19.264749,72.774695,ANPR_VASHI_TOLL,0.92,True
SIGHT_000005,VEH_0109,2026-08-25T10:18:21,18.932872,72.934828,ANPR_VASHI_TOLL,0.95,True
SIGHT_000006,VEH_2233,2026-04-10T13:54:12,19.250892,72.773928,ANPR_VASHI_TOLL,0.91,True
SIGHT_000007,VEH_1140,2027-06-18T01:20:09,19.134275,72.770062,ANPR_BKC_01,0.96,True
SIGHT_000008,VEH_0654,2027-02-07T15:39:30,19.100677,72.903213,POLICE_CHECKPOINT_BANDRA,0.9,True
SIGHT_000009,VEH_0637,2025-07-05T05:38:28,18.928921,72.826461,CCTV_DHARAVI_JCT,0.86,True
SIGHT_000010,VEH_1557,2025-04-08T14:28:09,18.901633,72.775442,CCTV_DHARAVI_JCT,0.97,True
SIGHT_000011,VEH_2473,2025-10-13T08:51:30,19.209002,72.984237,ANPR_BKC_01,0.95,True
SIGHT_000012,VEH_2197,2025-04-15T19:20:16,19.112493,72.757833,POLICE_CHECKPOINT_BANDRA,0.86,True
SIGHT_000013,VEH_1201,2027-07-09T07:08:49,19.215394,72.940833,CCTV_DHARAVI_JCT,0.93,True
SIGHT_000014,VEH_0285,2025-03-01T21:25:10,19.262042,72.838862,ANPR_VASHI_TOLL,0.96,True
SIGHT_000015,VEH_0327,2027-08-06T01:19:23,19.186167,72.862744,ANPR_VASHI_TOLL,0.97,True
SIGHT_000016,VEH_1557,2025-10-27T00:36:20,19.275815,72.800393,POLICE_CHECKPOINT_BANDRA,0.94,True
SIGHT_000017,VEH_1495,2025-05-09T13:48:09,19.108759,72.892107,CCTV_DHARAVI_JCT,0.9,True
SIGHT_000018,VEH_1094,2027-02-13T23:39:40,19.250899,72.814904,ANPR_BKC_01,0.94,True
SIGHT_000019,VEH_0701,2026-07-30T20:26:59,19.134275,72.770062,ANPR_VASHI_TOLL,0.87,True
SIGHT_000020,VEH_1555,2025-10-20T23:49:15,18.888419,72.7891,ANPR_VASHI_TOLL,0.95,True
SIGHT_000021,VEH_0230,2025-07-29T05:12:57,19.228516,72.875947,ANPR_BKC_01,0.96,True
SIGHT_000022,VEH_1644,2025-10-19T19:06:05,19.22801,72.902233,ANPR_BKC_01,0.88,True
SIGHT_000023,VEH_2324,2027-09-06T15:12:53,19.024227,72.944408,CCTV_DHARAVI_JCT,0.88,True
SIGHT_000024,VEH_2045,2026-03-22T09:16:48,19.063651,72.893015,POLICE_CHECKPOINT_BANDRA,0.87,True
SIGHT_000025,VEH_0572,2025-09-18T00:25:04,19.128245,72.904528,CCTV_DHARAVI_JCT,0.95,True
SIGHT_000026,VEH_1755,2027-10-08T12:35:53,19.114748,72.820434,POLICE_CHECKPOINT_BANDRA,0.9,True
SIGHT_000027,VEH_0567,2026-06-26T06:10:41,19.019575,72.862437,POLICE_CHECKPOINT_BANDRA,0.86,True
SIGHT_000028,VEH_0193,2027-08-13T10:07:14,19.047285,72.920785,ANPR_BKC_01,0.87,True
SIGHT_000029,VEH_0656,2027-05-28T09:02:07,19.255439,72.893913,POLICE_CHECKPOINT_BANDRA,0.93,True
SIGHT_000030,VEH_1577,2026-03-04T23:04:26,19.000778,72.823672,POLICE_CHECKPOINT_BANDRA,0.92,True
SIGHT_000031,VEH_2267,2027-08-13T10:07:14,19.047285,72.920785,ANPR_BKC_01,0.95,True
SIGHT_000032,VEH_0470,2027-01-15T10:59:59,19.255932,72.983203,CCTV_DHARAVI_JCT,0.96,True
SIGHT_000033,VEH_1394,2025-04-12T19:52:47,18.976999,72.948677,CCTV_DHARAVI_JCT,0.91,True
SIGHT_000034,VEH_1859,2025-01-07T05:26:37,19.237965,72.857636,CCTV_DHARAVI_JCT,0.99,True
SIGHT_000035,VEH_0732,2026-06-21T19:51:49,18.920401,72.943799,ANPR_BKC_01,0.97,True
SIGHT_000036,VEH_1223,2027-07-20T09:37:51,18.935289,72.976567,ANPR_VASHI_TOLL,0.87,True
SIGHT_000037,VEH_0662,2026-08-04T18:47:01,18.976999,72.948677,ANPR_BKC_01,0.93,True
SIGHT_000038,VEH_2002,2025-01-28T05:16:04,19.006988,72.790899,ANPR_BKC_01,0.98,True
SIGHT_000039,VEH_1260,2025-09-05T15:19:36,19.250899,72.814904,ANPR_BKC_01,0.88,True
SIGHT_000040,VEH_2324,2027-11-26T21:03:41,19.20109,72.869676,ANPR_BKC_01,0.86,True
SIGHT_000041,VEH_1991,2027-06-25T00:49:39,18.996264,72.787969,ANPR_BKC_01,0.99,True
